date, pm25, pm10, o3, no2, so2, co
2020/7/2, 13, 17, 31, , , 
2020/7/3, 9, 20, 32, , , 
2020/6/2, 14, 19, 52, , , 
2020/6/3, 14, 23, 49, , , 
2020/6/4, 21, 39, 52, , , 
2020/6/5, 42, 36, 35, , , 
2020/6/6, 27, 24, 49, , , 
2020/6/7, 14, 19, 41, , , 
2020/6/8, 10, 32, 40, , , 
2020/6/9, 15, 21, 43, , , 
2020/6/10, 29, 38, 36, , , 
2020/6/11, 31, 46, 36, , , 
2020/6/12, 34, 22, 36, , , 
2020/6/13, 18, 19, 39, , , 
2020/6/14, 10, 31, 46, , , 
2020/6/15, 18, 24, 52, , , 
2020/6/16, 14, 16, 46, , , 
2020/6/17, 13, 16, 37, , , 
2020/6/18, 6, 17, 38, , , 
2020/6/19, 13, 21, 33, , , 
2020/6/20, 10, 26, 43, , , 
2020/6/21, 40, 16, 42, , , 
2020/6/22, 20, 22, 51, , , 
2020/6/23, 29, 58, 41, , , 
2020/6/24, 43, 25, 48, , , 
2020/6/25, 20, 23, 52, , , 
2020/6/26, 20, 33, 43, , , 
2020/6/27, 22, 34, 45, , , 
2020/6/28, 24, 25, 38, , , 
2020/6/29, 14, 27, 33, , , 
2020/6/30, 21, 22, 33, , , 
2020/7/1, 19, 21, 32, , , 
2020/5/2, 21, , 39, , , 
2020/5/3, 13, 24, 40, , , 
2020/5/4, 10, 18, 43, , , 
2020/5/5, 8, 34, 39, , , 
2020/5/6, 21, 28, 59, , , 
2020/5/7, 19, 27, 51, , , 
2020/5/8, 17, 49, 38, , , 
2020/5/9, 31, 35, 61, , , 
2020/5/10, 22, 26, 42, , , 
2020/5/11, 16, 24, 54, , , 
2020/5/12, 9, 20, 41, , , 
2020/5/13, 7, 18, 39, , , 
2020/5/14, 11, 18, 33, , , 
2020/5/15, 27, 17, , , , 
2020/5/16, 26, 18, , , , 
2020/5/17, 28, 19, , , , 
2020/5/18, 30, 27, 35, , , 
2020/5/19, 40, 24, 40, , , 
2020/5/20, 29, 19, 40, , , 
2020/5/21, 15, 20, 45, , , 
2020/5/22, 45, 21, 45, , , 
2020/5/23, 17, 18, 41, , , 
2020/5/24, 8, 17, 38, , , 
2020/5/25, 9, 21, 41, , , 
2020/5/26, 17, 23, 52, , , 
2020/5/27, 22, 23, 40, , , 
2020/5/28, 23, 26, 44, , , 
2020/5/29, 10, 20, 39, , , 
2020/5/30, 11, 16, 39, , , 
2020/5/31, 9, 15, 43, , , 
2020/6/1, 10, 17, 42, , , 
2020/4/2, 27, 17, 42, , , 
2020/4/3, 13, 21, 38, , , 
2020/4/4, 15, 23, 40, , , 
2020/4/5, 28, 17, 42, , , 
2020/4/6, 17, 17, 38, , , 
2020/4/7, 14, 15, 36, , , 
2020/4/8, 14, 17, 38, , , 
2020/4/9, 11, 16, 37, , , 
2020/4/10, 12, 16, 44, , , 
2020/4/11, 24, 18, 46, , , 
2020/4/12, 15, 29, 39, , , 
2020/4/13, 18, 23, 42, , , 
2020/4/14, 18, 14, 42, , , 
2020/4/15, 30, 20, 48, , , 
2020/4/18, 18, 23, 43, , , 
2020/4/19, 16, 14, 45, , , 
2020/4/20, 13, 19, 45, , , 
2020/4/21, 12, 21, 44, , , 
2020/4/22, 15, 18, 47, , , 
2020/4/23, 13, 19, 44, , , 
2020/4/24, 17, 19, 45, , , 
2020/4/25, 16, 24, 45, , , 
2020/4/26, 19, 20, 47, , , 
2020/4/27, 27, 21, 47, , , 
2020/4/28, 27, 19, 47, , , 
2020/4/29, 14, 39, 44, , , 
2020/5/1, 46, , 43, , , 
2020/3/4, 17, 13, 44, , , 
2020/3/5, 28, 21, 30, , , 
2020/3/6, 40, 19, 33, , , 
2020/3/7, 24, 23, 36, , , 
