date, pm25, o3, no2,so2 ,co
20-07-02,74,24, ,,
20-07-03,96,26, ,,
20-07-04,68,28, ,,
20-07-05,56,26, ,,
20-07-06,54,14, ,,
20-07-07,50, , ,,
20-06-02,30,27, ,,
20-06-03,39,30, ,,
20-06-04,37,27, ,,
20-06-05,33,26, ,,
20-06-06,45,41, ,,
20-06-07,34,42, ,,
20-06-08,47,44, ,,
20-06-09,39,36, ,,
20-06-10,53,36, ,,
20-06-11,40,53, ,,
20-06-12,29,53, ,,
20-06-13,25,53, ,,
20-06-16,22,35, ,,
20-06-17,24,32, ,,
20-06-18,24,22, ,,
20-06-19,19,20, ,,
20-06-20,16,21, ,,
20-06-21,22,20, ,,
20-06-22,26,22, ,,
20-06-23,33,38, ,,
20-06-24,24,32, ,,
20-06-25,17,45, ,,
20-06-26,30,19, ,,
20-06-27,78,19, ,,
20-06-28,150,17, ,,
20-06-29,71,20, ,,
20-06-30,62,21, ,,
20-07-01,77,24, ,,
20-05-02,22,38, ,,
20-05-03,33,36, ,,
20-05-04,33,38, ,,
20-05-05,54,45, ,,
20-05-06,55,47, ,,
20-05-07,22,35, ,,
20-05-08,36,38, ,,
20-05-09,39,38, ,,
20-05-10,23,48, ,,
20-05-11,31,44, ,,
20-05-12,29,31, ,,
20-05-13,27,35, ,,
20-05-14,26,47, ,,
20-05-15,33,41, ,,
20-05-16,57,40, ,,
20-05-17,15,40, ,,
20-05-18,14,50, ,,
20-05-19,27,39, ,,
20-05-20,43,40, ,,
20-05-21,61,40, ,,
20-05-22,59,37, ,,
20-05-23,59,31, ,,
20-05-24,55,40, ,,
20-05-25,39,33, ,,
20-05-26,19,37, ,,
20-05-27,23,40, ,,
20-05-28,28,52, ,,
20-05-29,25,39, ,,
20-05-30,20,44, ,,
20-05-31,27,39, ,,
20-06-01,43,26, ,,
20-04-02,23,30, ,,
20-04-03,22,20, ,,
20-04-04,45,19, ,,
20-04-05,16,32, ,,
20-04-06,31,32, ,,
20-04-07,48,25, ,,
20-04-08,50,33, ,,
20-04-09,71,33, ,,
20-04-10,51,38, ,,
20-04-11,45,33, ,,
20-04-12,50,38, ,,
20-04-13,42,34, ,,
20-04-14,24,33, ,,
20-04-15,24,40, ,,
20-04-16,30,43, ,,
20-04-17,35,33, ,,
20-04-18,34,18, ,,
20-04-19,39,38, ,,
20-04-20,42,53, ,,
20-04-21,29,40, ,,
20-04-22,57,27, ,,
20-04-23,65,45, ,,
20-04-24,34,45, ,,
20-04-25,41,41, ,,
20-04-26,22,50, ,,
20-04-27,29,41, ,,
20-04-28,34,37, ,,
20-04-29,52,42, ,,
20-04-30,36,58, ,,
20-05-01,21,51, ,,
20-03-04,61,28, ,,
20-03-05,24,34, ,,
