date, pm25, pm10, o3, no2, so2, co
2020/7/2, 36, 29, 37, 4, , 1
2020/7/3, 34, 25, 39, 4, , 1
2020/7/4, 38, 32, 44, 5, , 2
2020/7/5, 59, 20, 32, 6, , 2
2020/7/6, 52, , , , , 
2020/6/2, 12, 20, 34, 6, , 1
2020/6/3, 24, 21, 41, 9, , 2
2020/6/4, 27, 27, 48, 8, , 2
2020/6/5, 37, 66, 27, 2, , 1
2020/6/6, 36, 22, 25, 1, , 1
2020/6/7, 15, 11, 24, 1, , 1
2020/6/8, 11, 19, 26, 3, , 1
2020/6/9, 11, 15, 31, 7, , 2
2020/6/10, 24, 19, 31, 6, , 1
2020/6/11, 19, 22, 24, 7, , 1
2020/6/12, 20, 27, 26, 2, , 1
2020/6/13, 14, 8, 26, 2, , 1
2020/6/14, 6, 7, 22, 2, , 1
2020/6/15, 7, 29, 23, 6, , 1
2020/6/16, 13, 15, 30, 3, , 1
2020/6/17, 15, 28, 29, 4, , 1
2020/6/18, 10, 24, 40, 7, , 1
2020/6/19, 22, 23, 39, 7, , 2
2020/6/20, 30, 25, 32, 3, , 1
2020/6/21, 25, 12, 27, 3, , 1
2020/6/22, 19, 26, 34, 4, , 1
2020/6/23, 19, 26, 33, 4, , 1
2020/6/24, 16, 26, 35, 4, , 1
2020/6/25, 21, 30, 36, 4, , 1
2020/6/26, 31, 22, 37, 4, , 1
2020/6/27, 26, 33, 33, 3, , 1
2020/6/28, 34, 32, 26, 2, , 1
2020/6/29, 30, 27, 28, 4, , 1
2020/6/30, 24, 18, 33, 3, , 1
2020/7/1, 21, 29, 37, 5, , 1
2020/5/2, 20, 9, 20, 1, , 1
2020/5/3, 11, 11, 34, 2, , 1
2020/5/4, 15, 23, 39, 7, , 2
2020/5/5, 18, 22, 34, 8, , 2
2020/5/6, 21, 35, 37, 5, , 2
2020/5/7, 19, 27, 41, 6, , 2
2020/5/8, 10, 33, 48, 11, , 2
2020/5/9, 37, 25, 42, 6, , 2
2020/5/10, 34, 19, 32, 3, , 1
2020/5/11, 28, 19, 33, 4, , 1
2020/5/12, 21, 12, 30, 3, , 1
2020/5/13, 11, 15, 26, 5, , 1
2020/5/14, 20, 12, 27, 5, , 1
2020/5/15, 13, 15, 29, 3, , 1
2020/5/16, 14, 15, 22, 3, , 1
2020/5/17, 11, 8, 20, 3, , 1
2020/5/18, 11, 7, 26, 4, , 1
2020/5/19, 9, 10, 27, 4, , 1
2020/5/20, 19, 14, 26, 3, , 1
2020/5/21, 15, 16, 29, 6, , 1
2020/5/22, 21, 20, 34, 3, , 1
2020/5/23, 18, 23, 31, 4, , 1
2020/5/24, 12, 13, 36, 5, , 2
2020/5/25, 24, 16, 40, 6, , 2
