State,County,CS,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI
Alabama,Baldwin,BaldwinAlabama,0.8766044924448685,0.12095643428272479,0.002439073272406606,0.0,0.0,0.0,129,52.666666666666664,36.833333333333336
Alabama,Colbert,ColbertAlabama,0.9159721423545101,0.0834368410970266,0.0005910165484633567,0.0,0.0,0.0,115,49.666666666666664,36.666666666666664
Alabama,DeKalb,DeKalbAlabama,0.8897656916796666,0.10929624429449515,0.0009380640258383205,0.0,0.0,0.0,119,51.833333333333336,38.0
Alabama,Etowah,EtowahAlabama,0.6876267551234129,0.30489565953560765,0.0037099015266823486,0.003767683814297208,0.0,0.0,179,61.0,44.166666666666664
Alabama,Houston,HoustonAlabama,0.9106486310969628,0.08875824909283563,0.0005931198102016607,0.0,0.0,0.0,131,49.666666666666664,35.166666666666664
Alabama,Jefferson,JeffersonAlabama,0.46916810140479576,0.5089253187613844,0.020994585423060607,0.0009119944107592884,0.0,0.0,156,75.0,51.5
Alabama,Madison,MadisonAlabama,0.8158949939679694,0.18314788452696407,0.0009571215050667107,0.0,0.0,0.0,122,55.666666666666664,40.166666666666664
Alabama,Mobile,MobileAlabama,0.7707699444673711,0.2215990948492128,0.007630960683416046,0.0,0.0,0.0,139,59.166666666666664,39.833333333333336
Alabama,Montgomery,MontgomeryAlabama,0.6319612561853031,0.364754509905993,0.0023434015175299813,0.0004591368227731864,0.0004816955684007706,0.0,221,61.833333333333336,46.0
Alabama,Morgan,MorganAlabama,0.8409439153872573,0.15814284260361033,0.0009132420091324203,0.0,0.0,0.0,107,54.166666666666664,39.0
Alabama,Russell,RussellAlabama,0.7214482854702836,0.2769757403861407,0.0015759741435755982,0.0,0.0,0.0,141,61.0,42.166666666666664
Alabama,Shelby,ShelbyAlabama,0.8690726558683916,0.12073441764988413,0.010192926481724207,0.0,0.0,0.0,133,54.666666666666664,36.0
Alabama,Sumter,SumterAlabama,0.9092490923062068,0.09022012213116047,0.0005307855626326964,0.0,0.0,0.0,107,49.0,33.833333333333336
Alabama,Tuscaloosa,TuscaloosaAlabama,0.709897988097273,0.28910498809320323,0.0009970238095238096,0.0,0.0,0.0,123,57.833333333333336,42.666666666666664
Arizona,Apache,ApacheArizona,0.9953929402276026,0.00460705977239748,0.0,0.0,0.0,0.0,67,23.833333333333332,12.333333333333334
Arizona,Cochise,CochiseArizona,0.7233937170945929,0.27249918906105747,0.004107093844349627,0.0,0.0,0.0,141,65.0,44.666666666666664
Arizona,Coconino,CoconinoArizona,0.7341460440752393,0.25986672084808177,0.005987235076679073,0.0,0.0,0.0,126,67.0,44.5
Arizona,Gila,GilaArizona,0.26701848940788986,0.414898819771939,0.266518202460264,0.05156448835990718,0.0,0.0,200,127.5,77.16666666666667
Arizona,La Paz,La PazArizona,0.7716474968914321,0.22234007075210105,0.006012432356466948,0.0,0.0,0.0,136,65.5,43.0
Arizona,Maricopa,MaricopaArizona,0.16248346932155602,0.7119919155625422,0.11821992664121567,0.00502283105022831,0.0022818574244579184,0.0,249,105.5,67.0
Arizona,Mohave,MohaveArizona,0.9695169265018917,0.030023936675335067,0.0004591368227731864,0.0,0.0,0.0,105,32.166666666666664,16.833333333333332
Arizona,Navajo,NavajoArizona,0.7874957133138544,0.2097595290223345,0.0027447576638112135,0.0,0.0,0.0,115,61.333333333333336,43.0
Arizona,Pima,PimaArizona,0.5627629313571375,0.4244566709085012,0.012780397734361355,0.0,0.0,0.0,129,75.66666666666667,48.5
Arizona,Pinal,PinalArizona,0.23415175786610776,0.6115764653042892,0.11318461960725605,0.018258602190782746,0.005021583451855178,0.017806971579709063,1263,113.5,68.0
Arizona,Santa Cruz,Santa CruzArizona,0.7647273739159829,0.22795660588880762,0.004573778349605187,0.002742241845604237,0.0,0.0,199,62.333333333333336,32.833333333333336
Arizona,Yavapai,YavapaiArizona,0.770022814884515,0.22349815514733343,0.006479029968151644,0.0,0.0,0.0,140,64.0,42.833333333333336
Arizona,Yuma,YumaArizona,0.6636424882101953,0.3007585398108641,0.030578636125458494,0.002738478429024129,0.0018264840182648406,0.0004553734061930783,419,76.16666666666667,45.166666666666664
Arkansas,Clark,ClarkArkansas,0.9669947773466868,0.03300522265331316,0.0,0.0,0.0,0.0,90,45.333333333333336,32.833333333333336
Arkansas,Crittenden,CrittendenArkansas,0.8201561993163159,0.17573795443770743,0.003650472839783417,0.0004553734061930783,0.0,0.0,159,56.833333333333336,39.0
Arkansas,Newton,NewtonArkansas,0.9397108642785713,0.060289135721428556,0.0,0.0,0.0,0.0,90,47.5,36.166666666666664
Arkansas,Polk,PolkArkansas,0.8697357242693801,0.12934091469645553,0.0009233610341643582,0.0,0.0,0.0,119,53.5,38.833333333333336
Arkansas,Pulaski,PulaskiArkansas,0.6672592758939042,0.33000099807869854,0.0027397260273972607,0.0,0.0,0.0,122,63.0,44.0
Arkansas,Union,UnionArkansas,0.8465364287853765,0.15163833479473174,0.00136986301369863,0.0004553734061930783,0.0,0.0,158,51.166666666666664,20.5
Arkansas,Washington,WashingtonArkansas,0.816016667914265,0.183983332085735,0.0,0.0,0.0,0.0,96,55.833333333333336,40.5
California,Alameda,AlamedaCalifornia,0.6038114130299174,0.36150410459864757,0.026011178481423262,0.007303440876313096,0.0013698630136986304,0.0,223,72.33333333333333,45.666666666666664
California,Amador,AmadorCalifornia,0.800557662990523,0.18333210027206345,0.016110236737413488,0.0,0.0,0.0,140,66.16666666666667,39.5
California,Butte,ButteCalifornia,0.4746750006237992,0.4742034084387554,0.04016268682785638,0.0077625570776255716,0.00136986301369863,0.0018264840182648401,445,86.5,52.166666666666664
California,Calaveras,CalaverasCalifornia,0.6251607815472885,0.33671681012739474,0.03260705197411189,0.00460211434207255,0.00045662100456621014,0.00045662100456621014,320,80.0,46.5
California,Colusa,ColusaCalifornia,0.7106195573520973,0.270202360456122,0.009589041095890411,0.009132420091324202,0.00045662100456621014,0.0,274,67.0,42.333333333333336
California,Contra Costa,Contra CostaCalifornia,0.6813770990842628,0.2944257304688475,0.016434613369264165,0.006849315068493151,0.0009132420091324203,0.0,245,66.33333333333333,43.833333333333336
California,El Dorado,El DoradoCalifornia,0.6467310303356647,0.2678171798293809,0.07313799389214436,0.011857174938243878,0.00045662100456621014,0.0,203,96.33333333333333,44.5
California,Fresno,FresnoCalifornia,0.25148339446565365,0.46782568555530607,0.22136137934476133,0.05841629862514661,0.0009132420091324203,0.0,207,135.33333333333334,73.83333333333333
California,Glenn,GlennCalifornia,0.7635453528702602,0.22545548992883915,0.007785199441488359,0.002754820936639118,0.0004591368227731864,0.0,230,61.666666666666664,41.166666666666664
California,Humboldt,HumboldtCalifornia,0.8451700114460663,0.14568753283613542,0.006855587335039389,0.002286868382758794,0.0,0.0,173,53.5,35.0
California,Imperial,ImperialCalifornia,0.2601429747735609,0.6239314319934127,0.10040796466801409,0.010041919305337228,0.003195099433590339,0.002280609826084787,541,104.5,61.833333333333336
California,Inyo,InyoCalifornia,0.5996955859969559,0.33960251515832024,0.03696758739426604,0.012780397734361354,0.002281857424457919,0.008672056291638594,2060,88.66666666666667,47.0
California,Kern,KernCalifornia,0.18530079596776206,0.4668987199640691,0.2816079047832922,0.06436609526661179,0.0009132420091324203,0.0009132420091324203,548,140.0,82.66666666666667
California,Kings,KingsCalifornia,0.2724966938643112,0.5490568156299124,0.14557352097212864,0.031959727524515306,0.0,0.0009132420091324203,507,117.33333333333333,67.83333333333333
California,Lake,LakeCalifornia,0.9708298401593493,0.02638965248071253,0.0013863953873408184,0.0009272585645676319,0.00046685340802987864,0.0,208,44.5,34.166666666666664
California,Los Angeles,Los AngelesCalifornia,0.10041669785662599,0.5992564313696135,0.21725054270529232,0.07531876138433515,0.007757566684133045,0.0,224,141.66666666666666,76.33333333333333
California,Madera,MaderaCalifornia,0.36970955909873493,0.5079783915961773,0.10724729894952216,0.015064750355565535,0.0,0.0,179,104.16666666666667,58.833333333333336
California,Marin,MarinCalifornia,0.824982072869095,0.1635973772919244,0.005484476779619993,0.0054794520547945215,0.00045662100456621014,0.0,218,55.5,36.333333333333336
California,Mariposa,MariposaCalifornia,0.5718728946777453,0.3587456645956533,0.04609501709209771,0.018720213588841485,0.00410958904109589,0.00045662100456621014,301,93.83333333333333,47.833333333333336
California,Mendocino,MendocinoCalifornia,0.8353481139207622,0.14955704940905867,0.010061969993476843,0.004117115760951378,0.00045787545787545793,0.00045787545787545793,314,55.833333333333336,36.333333333333336
California,Merced,MercedCalifornia,0.45498628053085727,0.44448535470318545,0.09139216760483322,0.009136197161124177,0.0,0.0,171,99.66666666666667,54.0
California,Mono,MonoCalifornia,0.830658482421339,0.1086520947176685,0.014151508346433118,0.01140803952391646,0.004109589041095891,0.03102028594954712,6403,64.83333333333333,19.166666666666668
California,Monterey,MontereyCalifornia,0.888179005414577,0.1022456770716371,0.005019088255108915,0.004556229258677047,0.0,0.0,176,51.0,37.333333333333336
