County,State,Combined_Key,Case_Curve_Class
Baldwin,Alabama,"Baldwin, Alabama, US",2
Colbert,Alabama,"Colbert, Alabama, US",3
DeKalb,Alabama,"DeKalb, Alabama, US",2
Etowah,Alabama,"Etowah, Alabama, US",2
Houston,Alabama,"Houston, Alabama, US",3
Jefferson,Alabama,"Jefferson, Alabama, US",3
Madison,Alabama,"Madison, Alabama, US",2
Mobile,Alabama,"Mobile, Alabama, US",3
Montgomery,Alabama,"Montgomery, Alabama, US",3
Morgan,Alabama,"Morgan, Alabama, US",3
Russell,Alabama,"Russell, Alabama, US",3
Shelby,Alabama,"Shelby, Alabama, US",2
Sumter,Alabama,"Sumter, Alabama, US",1
Tuscaloosa,Alabama,"Tuscaloosa, Alabama, US",3
Apache,Arizona,"Apache, Arizona, US",3
Cochise,Arizona,"Cochise, Arizona, US",2
Coconino,Arizona,"Coconino, Arizona, US",3
Gila,Arizona,"Gila, Arizona, US",2
La Paz,Arizona,"La Paz, Arizona, US",3
Maricopa,Arizona,"Maricopa, Arizona, US",2
Mohave,Arizona,"Mohave, Arizona, US",3
Navajo,Arizona,"Navajo, Arizona, US",3
Pima,Arizona,"Pima, Arizona, US",3
Pinal,Arizona,"Pinal, Arizona, US",3
Santa Cruz,Arizona,"Santa Cruz, Arizona, US",3
Yavapai,Arizona,"Yavapai, Arizona, US",3
Yuma,Arizona,"Yuma, Arizona, US",3
Clark,Arkansas,"Clark, Arkansas, US",2
Crittenden,Arkansas,"Crittenden, Arkansas, US",3
Newton,Arkansas,"Newton, Arkansas, US",2
Polk,Arkansas,"Polk, Arkansas, US",3
Pulaski,Arkansas,"Pulaski, Arkansas, US",3
Union,Arkansas,"Union, Arkansas, US",1
Washington,Arkansas,"Washington, Arkansas, US",3
Alameda,California,"Alameda, California, US",3
Amador,California,"Amador, California, US",1
Butte,California,"Butte, California, US",3
Calaveras,California,"Calaveras, California, US",2
Colusa,California,"Colusa, California, US",2
Contra Costa,California,"Contra Costa, California, US",2
El Dorado,California,"El Dorado, California, US",3
Fresno,California,"Fresno, California, US",3
Glenn,California,"Glenn, California, US",2
Humboldt,California,"Humboldt, California, US",1
Imperial,California,"Imperial, California, US",3
Inyo,California,"Inyo, California, US",2
Kern,California,"Kern, California, US",3
Kings,California,"Kings, California, US",3
Lake,California,"Lake, California, US",3
Los Angeles,California,"Los Angeles, California, US",3
Madera,California,"Madera, California, US",3
Marin,California,"Marin, California, US",3
Mariposa,California,"Mariposa, California, US",2
Mendocino,California,"Mendocino, California, US",3
Merced,California,"Merced, California, US",3
Mono,California,"Mono, California, US",1
Monterey,California,"Monterey, California, US",3
Napa,California,"Napa, California, US",2
Nevada,California,"Nevada, California, US",2
Orange,California,"Orange, California, US",3
Placer,California,"Placer, California, US",2
Riverside,California,"Riverside, California, US",3
Sacramento,California,"Sacramento, California, US",2
San Benito,California,"San Benito, California, US",2
San Bernardino,California,"San Bernardino, California, US",3
San Diego,California,"San Diego, California, US",3
San Francisco,California,"San Francisco, California, US",3
San Joaquin,California,"San Joaquin, California, US",3
San Luis Obispo,California,"San Luis Obispo, California, US",2
San Mateo,California,"San Mateo, California, US",3
Santa Barbara,California,"Santa Barbara, California, US",3
Santa Clara,California,"Santa Clara, California, US",2
Santa Cruz,California,"Santa Cruz, California, US",3
Shasta,California,"Shasta, California, US",2
Siskiyou,California,"Siskiyou, California, US",3
Solano,California,"Solano, California, US",2
Sonoma,California,"Sonoma, California, US",3
Stanislaus,California,"Stanislaus, California, US",2
Sutter,California,"Sutter, California, US",2
Tehama,California,"Tehama, California, US",2
Tulare,California,"Tulare, California, US",3
Tuolumne,California,"Tuolumne, California, US",2
Ventura,California,"Ventura, California, US",3
Yolo,California,"Yolo, California, US",2
Adams,Colorado,"Adams, Colorado, US",1
Arapahoe,Colorado,"Arapahoe, Colorado, US",1
Archuleta,Colorado,"Archuleta, Colorado, US",1
Boulder,Colorado,"Boulder, Colorado, US",3
Clear Creek,Colorado,"Clear Creek, Colorado, US",1
Denver,Colorado,"Denver, Colorado, US",1
Douglas,Colorado,"Douglas, Colorado, US",3
El Paso,Colorado,"El Paso, Colorado, US",3
Garfield,Colorado,"Garfield, Colorado, US",3
Gunnison,Colorado,"Gunnison, Colorado, US",1
Jefferson,Colorado,"Jefferson, Colorado, US",1
La Plata,Colorado,"La Plata, Colorado, US",3
Larimer,Colorado,"Larimer, Colorado, US",1
Mesa,Colorado,"Mesa, Colorado, US",2
Montezuma,Colorado,"Montezuma, Colorado, US",1
Prowers,Colorado,"Prowers, Colorado, US",1
Rio Blanco,Colorado,"Rio Blanco, Colorado, US",2
Routt,Colorado,"Routt, Colorado, US",1
Weld,Colorado,"Weld, Colorado, US",1
Fairfield,Connecticut,"Fairfield, Connecticut, US",1
Hartford,Connecticut,"Hartford, Connecticut, US",1
Litchfield,Connecticut,"Litchfield, Connecticut, US",1
New Haven,Connecticut,"New Haven, Connecticut, US",1
New London,Connecticut,"New London, Connecticut, US",1
Windham,Connecticut,"Windham, Connecticut, US",3
Kent,Delaware,"Kent, Delaware, US",1
New Castle,Delaware,"New Castle, Delaware, US",3
Sussex,Delaware,"Sussex, Delaware, US",1
