GEO_ID,NAME,S0101_C01_001E,S0101_C03_001E,S0101_C05_001E,S0101_C01_003E,S0101_C02_003E,S0101_C04_003E,S0101_C01_004E,S0101_C02_004E,S0101_C01_005E,S0101_C02_005E,S0101_C01_006E,S0101_C02_006E,S0101_C01_007E,S0101_C02_007E,S0101_C01_008E,S0101_C02_008E,S0101_C01_009E,S0101_C02_009E,S0101_C01_010E,S0101_C02_010E,S0101_C01_011E,S0101_C02_011E,S0101_C01_012E,S0101_C02_012E,S0101_C01_013E,S0101_C02_013E,S0101_C01_014E,S0101_C02_014E,S0101_C01_015E,S0101_C02_015E,S0101_C01_016E,S0101_C02_016E,S0101_C01_017E,S0101_C02_017E,S0101_C01_018E,S0101_C02_018E,S0101_C01_019E,S0101_C02_019E
id,Geographic Area Name,Estimate!!Total!!Total population,Estimate!!Male!!Total population,Estimate!!Female!!Total population,Estimate!!Total!!Total population!!AGE!!5 to 9 years,Estimate!!Percent!!Total population!!AGE!!5 to 9 years,Estimate!!Percent Male!!Total population!!AGE!!5 to 9 years,Estimate!!Total!!Total population!!AGE!!10 to 14 years,Estimate!!Percent!!Total population!!AGE!!10 to 14 years,Estimate!!Total!!Total population!!AGE!!15 to 19 years,Estimate!!Percent!!Total population!!AGE!!15 to 19 years,Estimate!!Total!!Total population!!AGE!!20 to 24 years,Estimate!!Percent!!Total population!!AGE!!20 to 24 years,Estimate!!Total!!Total population!!AGE!!25 to 29 years,Estimate!!Percent!!Total population!!AGE!!25 to 29 years,Estimate!!Total!!Total population!!AGE!!30 to 34 years,Estimate!!Percent!!Total population!!AGE!!30 to 34 years,Estimate!!Total!!Total population!!AGE!!35 to 39 years,Estimate!!Percent!!Total population!!AGE!!35 to 39 years,Estimate!!Total!!Total population!!AGE!!40 to 44 years,Estimate!!Percent!!Total population!!AGE!!40 to 44 years,Estimate!!Total!!Total population!!AGE!!45 to 49 years,Estimate!!Percent!!Total population!!AGE!!45 to 49 years,Estimate!!Total!!Total population!!AGE!!50 to 54 years,Estimate!!Percent!!Total population!!AGE!!50 to 54 years,Estimate!!Total!!Total population!!AGE!!55 to 59 years,Estimate!!Percent!!Total population!!AGE!!55 to 59 years,Estimate!!Total!!Total population!!AGE!!60 to 64 years,Estimate!!Percent!!Total population!!AGE!!60 to 64 years,Estimate!!Total!!Total population!!AGE!!65 to 69 years,Estimate!!Percent!!Total population!!AGE!!65 to 69 years,Estimate!!Total!!Total population!!AGE!!70 to 74 years,Estimate!!Percent!!Total population!!AGE!!70 to 74 years,Estimate!!Total!!Total population!!AGE!!75 to 79 years,Estimate!!Percent!!Total population!!AGE!!75 to 79 years,Estimate!!Total!!Total population!!AGE!!80 to 84 years,Estimate!!Percent!!Total population!!AGE!!80 to 84 years,Estimate!!Total!!Total population!!AGE!!85 years and over,Estimate!!Percent!!Total population!!AGE!!85 years and over
0500000US01001,"Autauga County, Alabama",55200,26874,28326,4009,7.3,7.5,3570,6.5,3855,7,3337,6,3660,6.6,3404,6.2,4095,7.4,3279,5.9,3874,7,3979,7.2,4131,7.5,2694,4.9,2271,4.1,2440,4.4,1498,2.7,1026,1.9,815,1.5
0500000US01003,"Baldwin County, Alabama",208107,101188,106919,11689,5.6,5.5,14323,6.9,12707,6.1,10790,5.2,11825,5.7,11501,5.5,12428,6,12949,6.2,13694,6.6,14636,7,14440,6.9,14851,7.1,13141,6.3,11410,5.5,7373,3.5,4792,2.3,3949,1.9
0500000US01005,"Barbour County, Alabama",25782,13697,12085,1450,5.6,4.9,1677,6.5,1434,5.6,1658,6.4,1863,7.2,1812,7,1656,6.4,1448,5.6,1672,6.5,1780,6.9,1657,6.4,1651,6.4,1515,5.9,1305,5.1,841,3.3,551,2.1,422,1.6
0500000US01007,"Bibb County, Alabama",22527,12152,10375,1178,5.2,5.4,1289,5.7,1514,6.7,1491,6.6,1557,6.9,1518,6.7,1455,6.5,1440,6.4,1813,8,1626,7.2,1494,6.6,1216,5.4,1280,5.7,842,3.7,624,2.8,488,2.2,427,1.9
0500000US01009,"Blount County, Alabama",57645,28434,29211,3632,6.3,6,3995,6.9,3717,6.4,3189,5.5,3400,5.9,3386,5.9,3040,5.3,4113,7.1,3959,6.9,3988,6.9,3895,6.8,3613,6.3,3330,5.8,2802,4.9,1776,3.1,1459,2.5,866,1.5
0500000US01011,"Bullock County, Alabama",10352,5663,4689,634,6.1,6.3,540,5.2,772,7.5,706,6.8,702,6.8,418,4,862,8.3,737,7.1,611,5.9,711,6.9,593,5.7,854,8.2,575,5.6,436,4.2,248,2.4,182,1.8,175,1.7
0500000US01013,"Butler County, Alabama",20025,9368,10657,1293,6.5,7.3,1274,6.4,1292,6.5,1073,5.4,1238,6.2,1186,5.9,1213,6.1,1188,5.9,1168,5.8,1259,6.3,1460,7.3,1370,6.8,1087,5.4,994,5,753,3.8,415,2.1,557,2.8
0500000US01015,"Calhoun County, Alabama",115098,55315,59783,6844,5.9,6.3,7158,6.2,7773,6.8,7626,6.6,8017,7,7000,6.1,7039,6.1,6806,5.9,7148,6.2,7810,6.8,7851,6.8,8078,7,6667,5.8,4822,4.2,3524,3.1,2323,2,2050,1.8
0500000US01017,"Chambers County, Alabama",33826,16257,17569,1728,5.1,5.7,2099,6.2,1960,5.8,2525,7.5,1829,5.4,1862,5.5,1861,5.5,2112,6.2,2281,6.7,2367,7,2638,7.8,2205,6.5,2089,6.2,1686,5,1185,3.5,747,2.2,702,2.1
0500000US01019,"Cherokee County, Alabama",25853,12820,13033,1470,5.7,5.1,1520,5.9,1603,6.2,1383,5.3,1437,5.6,1092,4.2,1561,6,1356,5.2,1749,6.8,1893,7.3,2047,7.9,1917,7.4,1934,7.5,1492,5.8,1188,4.6,528,2,479,1.9
0500000US01021,"Chilton County, Alabama",43930,21672,22258,3103,7.1,7.3,2869,6.5,2823,6.4,2575,5.9,2955,6.7,2874,6.5,2716,6.2,2892,6.6,2843,6.5,2813,6.4,3037,6.9,2736,6.2,2048,4.7,2088,4.8,1385,3.2,804,1.8,602,1.4
0500000US01023,"Choctaw County, Alabama",13075,6253,6822,707,5.4,6.1,760,5.8,807,6.2,694,5.3,689,5.3,637,4.9,617,4.7,829,6.3,826,6.3,980,7.5,1074,8.2,900,6.9,876,6.7,771,5.9,680,5.2,262,2,295,2.3
0500000US01025,"Clarke County, Alabama",24387,11539,12848,1375,5.6,6,1591,6.5,1611,6.6,1576,6.5,1362,5.6,1231,5,1502,6.2,1419,5.8,1568,6.4,1749,7.2,1940,8,1473,6,1534,6.3,1041,4.3,956,3.9,630,2.6,465,1.9
