CountyState,Projected Population
"Baldwin, Alabama",223234.0
"Colbert, Alabama",55241.0
"DeKalb, Alabama",71513.0
"Etowah, Alabama",102268.0
"Houston, Alabama",105882.0
"Jefferson, Alabama",658573.0
"Madison, Alabama",372909.0
"Mobile, Alabama",413210.0
"Montgomery, Alabama",226486.0
"Morgan, Alabama",119679.0
"Russell, Alabama",57961.0
"Shelby, Alabama",217702.0
"Sumter, Alabama",12427.0
"Tuscaloosa, Alabama",209355.0
"Apache, Arizona",71887.0
"Cochise, Arizona",125922.0
"Coconino, Arizona",143476.0
"Gila, Arizona",54018.0
"La Paz, Arizona",21108.0
"Maricopa, Arizona",4485414.0
"Mohave, Arizona",212181.0
"Navajo, Arizona",110924.0
"Pima, Arizona",1047279.0
"Pinal, Arizona",462789.0
"Santa Cruz, Arizona",46498.0
"Yavapai, Arizona",235099.0
"Yuma, Arizona",213787.0
"Clark, Arkansas",22320.0
"Crittenden, Arkansas",47955.0
"Newton, Arkansas",7753.0
"Polk, Arkansas",19964.0
"Pulaski, Arkansas",391911.0
"Union, Arkansas",38682.0
"Washington, Arkansas",239187.0
"Alameda, California",1671329.0
"Amador, California",39752.0
"Butte, California",219186.0
"Calaveras, California",45905.0
"Colusa, California",21547.0
"Contra Costa, California",1153526.0
"El Dorado, California",192843.0
"Fresno, California",999101.0
"Glenn, California",28393.0
"Humboldt, California",135558.0
"Imperial, California",181215.0
"Inyo, California",18039.0
"Kern, California",900202.0
"Kings, California",152940.0
"Lake, California",64386.0
"Los Angeles, California",10039107.0
"Madera, California",157327.0
"Marin, California",258826.0
"Mariposa, California",17203.0
"Mendocino, California",86749.0
"Merced, California",277680.0
"Mono, California",14444.0
"Monterey, California",434061.0
"Napa, California",137744.0
"Nevada, California",99755.0
"Orange, California",3175692.0
"Placer, California",398329.0
"Riverside, California",2470546.0
"Sacramento, California",1552058.0
"San Benito, California",62808.0
"San Bernardino, California",2180085.0
"San Diego, California",3338330.0
"San Francisco, California",881549.0
"San Joaquin, California",762148.0
"San Luis Obispo, California",283111.0
"San Mateo, California",766573.0
"Santa Barbara, California",446499.0
"Santa Clara, California",1927852.0
"Santa Cruz, California",273213.0
"Shasta, California",180080.0
"Siskiyou, California",43539.0
"Solano, California",447643.0
"Sonoma, California",494336.0
"Stanislaus, California",550660.0
"Sutter, California",96971.0
"Tehama, California",65084.0
"Tulare, California",466195.0
"Tuolumne, California",54478.0
"Ventura, California",846006.0
"Yolo, California",220500.0
"Adams, Colorado",517421.0
"Arapahoe, Colorado",656590.0
"Archuleta, Colorado",14029.0
"Boulder, Colorado",326196.0
"Clear Creek, Colorado",9700.0
"Denver, Colorado",727211.0
"Douglas, Colorado",351154.0
"El Paso, Colorado",720403.0
"Garfield, Colorado",60061.0
"Gunnison, Colorado",17462.0
"Jefferson, Colorado",582881.0
"La Plata, Colorado",56221.0
"Larimer, Colorado",356899.0
"Mesa, Colorado",154210.0
"Montezuma, Colorado",26183.0
"Prowers, Colorado",12172.0
"Rio Blanco, Colorado",6324.0
"Routt, Colorado",25638.0
"Weld, Colorado",324492.0
"Fairfield, Connecticut",943332.0
"Hartford, Connecticut",891720.0
"Litchfield, Connecticut",180333.0
"New Haven, Connecticut",854757.0
"New London, Connecticut",265206.0
"Windham, Connecticut",116782.0
"Kent, Delaware",180786.0
"New Castle, Delaware",558753.0
"Sussex, Delaware",234225.0
"Alachua, Florida",269043.0
"Baker, Florida",29210.0
"Bay, Florida",174705.0
"Brevard, Florida",601942.0
"Broward, Florida",1952778.0
"Citrus, Florida",149657.0
"Collier, Florida",384902.0
"Columbia, Florida",71686.0
"Duval, Florida",957755.0
"Escambia, Florida",318316.0
"Flagler, Florida",115081.0
"Hamilton, Florida",14428.0
"Highlands, Florida",106221.0
"Hillsborough, Florida",1471968.0
"Holmes, Florida",19617.0
"Indian River, Florida",159923.0
"Lake, Florida",367118.0
"Lee, Florida",770577.0
"Leon, Florida",293582.0
"Liberty, Florida",8354.0
"Manatee, Florida",403253.0
"Marion, Florida",365579.0
"Martin, Florida",161000.0
"Miami-Dade, Florida",2716940.0
"Nassau, Florida",88625.0
"Okaloosa, Florida",210738.0
"Orange, Florida",1393452.0
"Osceola, Florida",375751.0
"Palm Beach, Florida",1496770.0
"Pasco, Florida",553947.0
"Pinellas, Florida",974996.0
"Polk, Florida",724777.0
"Putnam, Florida",74521.0
"St. Lucie, Florida",328297.0
"Santa Rosa, Florida",184313.0
"Sarasota, Florida",433742.0
"Seminole, Florida",471826.0
"Volusia, Florida",553284.0
"Wakulla, Florida",33739.0
"Bibb, Georgia",153159.0
"Chatham, Georgia",289430.0
"Chattooga, Georgia",24789.0
"Clarke, Georgia",128331.0
"Cobb, Georgia",760141.0
"Columbia, Georgia",156714.0
"Dawson, Georgia",26108.0
"DeKalb, Georgia",759297.0
"Dougherty, Georgia",87956.0
"Douglas, Georgia",146343.0
"Floyd, Georgia",98498.0
"Fulton, Georgia",1063937.0
"Glynn, Georgia",85292.0
"Gwinnett, Georgia",936250.0
"Henry, Georgia",234561.0
"Houston, Georgia",157863.0
"Lowndes, Georgia",117406.0
"Murray, Georgia",40096.0
"Muscogee, Georgia",195769.0
"Pike, Georgia",18962.0
"Richmond, Georgia",202518.0
"Rockdale, Georgia",90896.0
"Sumter, Georgia",29524.0
"Walker, Georgia",69761.0
"Hawaii, Hawaii",201513.0
"Honolulu, Hawaii",974563.0
"Kauai, Hawaii",72293.0
"Maui, Hawaii",167417.0
"Ada, Idaho",481587.0
"Bannock, Idaho",87808.0
"Benewah, Idaho",9298.0
"Bonner, Idaho",45739.0
"Canyon, Idaho",229849.0
"Caribou, Idaho",7155.0
"Franklin, Idaho",13876.0
"Lemhi, Idaho",8027.0
"Adams, Illinois",65435.0
"Champaign, Illinois",209689.0
"Clark, Illinois",15441.0
"Cook, Illinois",5150233.0
"DuPage, Illinois",922921.0
"Effingham, Illinois",34008.0
"Hamilton, Illinois",8116.0
"Jersey, Illinois",21773.0
"Jo Daviess, Illinois",21235.0
"Kane, Illinois",532403.0
"Lake, Illinois",696535.0
"McHenry, Illinois",307774.0
"McLean, Illinois",171517.0
"Macon, Illinois",104009.0
"Macoupin, Illinois",44926.0
"Madison, Illinois",262966.0
"Peoria, Illinois",179179.0
"Randolph, Illinois",31782.0
"Rock Island, Illinois",141879.0
"Sangamon, Illinois",194672.0
"Wabash, Illinois",11520.0
"Will, Illinois",690743.0
"Winnebago, Illinois",282572.0
"Allen, Indiana",379299.0
"Bartholomew, Indiana",83779.0
"Clark, Indiana",118302.0
"Daviess, Indiana",33351.0
"Delaware, Indiana",114135.0
"Elkhart, Indiana",206341.0
"Floyd, Indiana",78522.0
"Gibson, Indiana",33659.0
"Greene, Indiana",31922.0
"Hamilton, Indiana",338011.0
"Hendricks, Indiana",170311.0
"Howard, Indiana",82544.0
"Knox, Indiana",36594.0
"Lake, Indiana",485493.0
"LaPorte, Indiana",109888.0
"Madison, Indiana",129569.0
"Marion, Indiana",964582.0
"Monroe, Indiana",148431.0
"Morgan, Indiana",70489.0
"Pike, Indiana",12389.0
"Porter, Indiana",170389.0
"Posey, Indiana",25427.0
"St. Joseph, Indiana",271826.0
"Shelby, Indiana",44729.0
"Tippecanoe, Indiana",195732.0
"Vanderburgh, Indiana",181451.0
"Vigo, Indiana",107038.0
"Wabash, Indiana",30996.0
"Warrick, Indiana",62998.0
"Whitley, Indiana",33964.0
"Black Hawk, Iowa",131228.0
"Bremer, Iowa",25062.0
"Clinton, Iowa",46429.0
"Harrison, Iowa",14049.0
"Johnson, Iowa",151140.0
"Linn, Iowa",226706.0
"Montgomery, Iowa",9917.0
"Muscatine, Iowa",42664.0
"Palo Alto, Iowa",8886.0
"Polk, Iowa",490161.0
"Scott, Iowa",172943.0
"Van Buren, Iowa",7044.0
"Ford, Kansas",33619.0
"Johnson, Kansas",602401.0
"Leavenworth, Kansas",81758.0
"Neosho, Kansas",16007.0
"Sedgwick, Kansas",516042.0
"Shawnee, Kansas",176875.0
"Sumner, Kansas",22836.0
"Trego, Kansas",2803.0
"Wyandotte, Kansas",165429.0
"Bell, Kentucky",26032.0
"Boone, Kentucky",133581.0
"Boyd, Kentucky",46718.0
"Bullitt, Kentucky",81676.0
"Campbell, Kentucky",93584.0
"Carter, Kentucky",26797.0
"Christian, Kentucky",70461.0
"Daviess, Kentucky",101511.0
"Edmonson, Kentucky",12150.0
"Fayette, Kentucky",323152.0
"Greenup, Kentucky",35098.0
"Hardin, Kentucky",110958.0
"Henderson, Kentucky",45210.0
"Jefferson, Kentucky",766757.0
"Jessamine, Kentucky",54115.0
"Livingston, Kentucky",9194.0
"McCracken, Kentucky",65418.0
"Morgan, Kentucky",13309.0
"Oldham, Kentucky",66799.0
"Perry, Kentucky",25758.0
"Pike, Kentucky",57876.0
"Pulaski, Kentucky",64979.0
"Simpson, Kentucky",18572.0
"Trigg, Kentucky",14651.0
"Warren, Kentucky",132896.0
"Washington, Kentucky",12095.0
"Ascension, Louisiana",126604.0
"Bossier, Louisiana",127039.0
"Caddo, Louisiana",240204.0
"Calcasieu, Louisiana",203436.0
"East Baton Rouge, Louisiana",440059.0
"Iberville, Louisiana",32511.0
"Jefferson, Louisiana",432493.0
"Lafayette, Louisiana",244390.0
"Lafourche, Louisiana",97614.0
"Livingston, Louisiana",140789.0
"Orleans, Louisiana",390144.0
"Ouachita, Louisiana",153279.0
"Pointe Coupee, Louisiana",21730.0
"St. Bernard, Louisiana",47244.0
"St. James, Louisiana",21096.0
"St. John the Baptist, Louisiana",42837.0
"St. Tammany, Louisiana",260419.0
"West Baton Rouge, Louisiana",26465.0
"Androscoggin, Maine",108277.0
"Aroostook, Maine",67055.0
"Cumberland, Maine",295003.0
"Hancock, Maine",54987.0
"Kennebec, Maine",122302.0
"Oxford, Maine",57975.0
"Penobscot, Maine",152148.0
"Washington, Maine",31379.0
"York, Maine",207641.0
"Anne Arundel, Maryland",579234.0
"Baltimore, Maryland",827370.0
"Calvert, Maryland",92525.0
"Carroll, Maryland",168447.0
"Cecil, Maryland",102855.0
"Charles, Maryland",163257.0
"Dorchester, Maryland",31929.0
"Frederick, Maryland",259547.0
"Garrett, Maryland",29014.0
"Harford, Maryland",255441.0
"Howard, Maryland",325690.0
"Kent, Maryland",19422.0
"Montgomery, Maryland",1050688.0
"Prince George's, Maryland",909327.0
"Washington, Maryland",151049.0
"Barnstable, Massachusetts",212990.0
"Berkshire, Massachusetts",124944.0
"Bristol, Massachusetts",565217.0
"Dukes, Massachusetts",17332.0
"Essex, Massachusetts",789034.0
"Franklin, Massachusetts",70180.0
"Hampden, Massachusetts",466372.0
"Hampshire, Massachusetts",160830.0
"Middlesex, Massachusetts",1611699.0
"Norfolk, Massachusetts",706775.0
"Plymouth, Massachusetts",521202.0
"Suffolk, Massachusetts",803907.0
"Worcester, Massachusetts",830622.0
"Allegan, Michigan",118081.0
"Bay, Michigan",103126.0
"Berrien, Michigan",153401.0
"Clinton, Michigan",79595.0
"Genesee, Michigan",405813.0
"Ingham, Michigan",292406.0
"Kalamazoo, Michigan",265066.0
"Kent, Michigan",656955.0
"Lenawee, Michigan",98451.0
"Macomb, Michigan",873972.0
"Manistee, Michigan",24558.0
"Missaukee, Michigan",15118.0
"Monroe, Michigan",150500.0
"Oakland, Michigan",1257584.0
"St. Clair, Michigan",159128.0
"Schoolcraft, Michigan",8094.0
"Tuscola, Michigan",52245.0
"Washtenaw, Michigan",367601.0
"Wayne, Michigan",1749343.0
"Wexford, Michigan",33631.0
"Anoka, Minnesota",356921.0
"Becker, Minnesota",34423.0
"Carlton, Minnesota",35871.0
"Cook, Minnesota",5463.0
"Crow Wing, Minnesota",65055.0
"Dakota, Minnesota",429021.0
"Goodhue, Minnesota",46340.0
"Hennepin, Minnesota",1265843.0
"Lake, Minnesota",10641.0
"Lyon, Minnesota",25474.0
"Olmsted, Minnesota",158293.0
"Ramsey, Minnesota",550321.0
"Scott, Minnesota",149013.0
"Stearns, Minnesota",161075.0
"Washington, Minnesota",262440.0
"Wright, Minnesota",138377.0
"Bolivar, Mississippi",30628.0
"DeSoto, Mississippi",184945.0
"Forrest, Mississippi",74897.0
"Hancock, Mississippi",47632.0
"Harrison, Mississippi",208080.0
"Hinds, Mississippi",231840.0
"Jackson, Mississippi",143617.0
"Lauderdale, Mississippi",74125.0
"Lee, Mississippi",85436.0
