GEO_ID,NAME,S2701_C01_001E,S2701_C02_001E,S2701_C03_001E,S2701_C03_001M,S2701_C04_001E,S2701_C05_001E
id,Geographic Area Name,Estimate!!Total!!Civilian noninstitutionalized population,Estimate!!Insured!!Civilian noninstitutionalized population,Estimate!!Percent Insured!!Civilian noninstitutionalized population,Margin of Error!!Percent Insured MOE!!Civilian noninstitutionalized population,Estimate!!Uninsured!!Civilian noninstitutionalized population,Estimate!!Percent Uninsured!!Civilian noninstitutionalized population
0500000US01117,"Shelby County, Alabama",213983,199822,93.4,1.4,14161,6.6
0500000US01121,"Talladega County, Alabama",76739,68959,89.9,2.2,7780,10.1
0500000US01125,"Tuscaloosa County, Alabama",207184,192128,92.7,1.3,15056,7.3
0500000US04021,"Pinal County, Arizona",420312,381524,90.8,1.3,38788,9.2
0500000US06045,"Mendocino County, California",86511,79773,92.2,1.7,6738,7.8
0500000US06059,"Orange County, California",3168615,2946357,93,0.4,222258,7
0500000US06067,"Sacramento County, California",1527845,1451046,95,0.4,76799,5
0500000US12017,"Citrus County, Florida",145839,132330,90.7,1.9,13509,9.3
0500000US17143,"Peoria County, Illinois",178507,167375,93.8,1.1,11132,6.2
0500000US18059,"Hancock County, Indiana",75768,68783,90.8,2.9,6985,9.2
0500000US18067,"Howard County, Indiana",81200,76183,93.8,1.4,5017,6.2
0500000US22105,"Tangipahoa Parish, Louisiana",133092,123606,92.9,1.5,9486,7.1
0500000US25003,"Berkshire County, Massachusetts",124206,121192,97.6,0.8,3014,2.4
0500000US27139,"Scott County, Minnesota",145668,141103,96.9,0.9,4565,3.1
0500000US36087,"Rockland County, New York",323895,309207,95.5,1.1,14688,4.5
0500000US36105,"Sullivan County, New York",74033,70485,95.2,1.7,3548,4.8
0500000US37037,"Chatham County, North Carolina",72628,65285,89.9,2.1,7343,10.1
0500000US37085,"Harnett County, North Carolina",128542,112484,87.5,2.1,16058,12.5
0500000US37195,"Wilson County, North Carolina",80495,71039,88.3,2.5,9456,11.7
0500000US39007,"Ashtabula County, Ohio",94643,84560,89.3,4.7,10083,10.7
0500000US39013,"Belmont County, Ohio",63700,60063,94.3,2,3637,5.7
0500000US40031,"Comanche County, Oklahoma",106715,93200,87.3,2.4,13515,12.7
0500000US42013,"Blair County, Pennsylvania",121010,114902,95,1.1,6108,5
0500000US42039,"Crawford County, Pennsylvania",83502,77041,92.3,1.6,6461,7.7
0500000US42051,"Fayette County, Pennsylvania",126836,121980,96.2,1.2,4856,3.8
0500000US47113,"Madison County, Tennessee",96285,85172,88.5,2.4,11113,11.5
0500000US48027,"Bell County, Texas",337675,294381,87.2,1.3,43294,12.8
0500000US48061,"Cameron County, Texas",422224,299508,70.9,1.9,122716,29.1
0500000US49057,"Weber County, Utah",253837,231077,91,1.5,22760,9
0500000US51165,"Rockingham County, Virginia",80915,74215,91.7,1.8,6700,8.3
0500000US51700,"Newport News city, Virginia",170028,150948,88.8,1.7,19080,11.2
0500000US51710,"Norfolk city, Virginia",215095,186465,86.7,1.7,28630,13.3
0500000US51810,"Virginia Beach city, Virginia",424989,392324,92.3,0.9,32665,7.7
0500000US53007,"Chelan County, Washington",76397,67905,88.9,2.5,8492,11.1
0500000US01015,"Calhoun County, Alabama",112854,103407,91.6,1.8,9447,8.4
0500000US08005,"Arapahoe County, Colorado",645269,592913,91.9,0.9,52356,8.1
0500000US13013,"Barrow County, Georgia",80685,68234,84.6,2.9,12451,15.4
0500000US13157,"Jackson County, Georgia",69795,62253,89.2,3.4,7542,10.8
0500000US13245,"Richmond County, Georgia",191535,163762,85.5,1.9,27773,14.5
0500000US13285,"Troup County, Georgia",68742,62430,90.8,2.4,6312,9.2
0500000US19061,"Dubuque County, Iowa",95638,92820,97.1,0.7,2818,2.9
0500000US21227,"Warren County, Kentucky",129919,121567,93.6,1.7,8352,6.4
0500000US27019,"Carver County, Minnesota",103276,100560,97.4,1.1,2716,2.6
0500000US28075,"Lauderdale County, Mississippi",72094,65691,91.1,2.2,6403,8.9
0500000US28081,"Lee County, Mississippi",84171,73864,87.8,2.1,10307,12.2
0500000US28121,"Rankin County, Mississippi",147789,136510,92.4,1.6,11279,7.6
