LOC,PCT_HI
"Autauga County, Alabama",92.9
"Baldwin County, Alabama",89.8
"Barbour County, Alabama",88.8
"Bibb County, Alabama",92.1
"Blount County, Alabama",89
"Bullock County, Alabama",89.2
"Butler County, Alabama",89.8
"Calhoun County, Alabama",90.6
"Chambers County, Alabama",89.2
"Cherokee County, Alabama",91.7
"Chilton County, Alabama",85.8
"Choctaw County, Alabama",88.6
"Clarke County, Alabama",89.2
"Clay County, Alabama",89.8
"Cleburne County, Alabama",87.2
"Coffee County, Alabama",89.9
"Colbert County, Alabama",91.9
"Conecuh County, Alabama",85.5
"Coosa County, Alabama",92.2
"Covington County, Alabama",88.8
"Crenshaw County, Alabama",90
"Cullman County, Alabama",88.2
"Dale County, Alabama",88.6
"Dallas County, Alabama",88
"DeKalb County, Alabama",85.5
"Elmore County, Alabama",91.8
"Escambia County, Alabama",84.5
"Etowah County, Alabama",89.6
"Fayette County, Alabama",91.2
"Franklin County, Alabama",87.2
"Geneva County, Alabama",86.3
"Greene County, Alabama",88.6
"Hale County, Alabama",91.2
"Henry County, Alabama",88.6
"Houston County, Alabama",89.6
"Jackson County, Alabama",90.4
"Jefferson County, Alabama",90.5
"Lamar County, Alabama",90.6
"Lauderdale County, Alabama",90.9
"Lawrence County, Alabama",91.8
"Lee County, Alabama",92.1
"Limestone County, Alabama",90.4
"Lowndes County, Alabama",90.8
"Macon County, Alabama",91.9
"Madison County, Alabama",91.1
"Marengo County, Alabama",90.4
"Marion County, Alabama",89.5
"Marshall County, Alabama",86.9
"Mobile County, Alabama",88.4
"Monroe County, Alabama",86.6
"Montgomery County, Alabama",89.5
"Morgan County, Alabama",89.8
"Perry County, Alabama",87.3
"Pickens County, Alabama",91.5
"Pike County, Alabama",90.4
"Randolph County, Alabama",89.5
"Russell County, Alabama",86.6
"St. Clair County, Alabama",91.2
"Shelby County, Alabama",93.2
"Sumter County, Alabama",84.5
"Talladega County, Alabama",90.7
"Tallapoosa County, Alabama",91.9
"Tuscaloosa County, Alabama",92.5
"Walker County, Alabama",89
"Washington County, Alabama",90.4
"Wilcox County, Alabama",88.4
"Winston County, Alabama",87.7
"Aleutians East Borough, Alaska",54.4
"Aleutians West Census Area, Alaska",81.2
"Anchorage Municipality, Alaska",87.8
"Bethel Census Area, Alaska",79.3
"Bristol Bay Borough, Alaska",80.2
"Denali Borough, Alaska",80.8
"Dillingham Census Area, Alaska",77.6
"Fairbanks North Star Borough, Alaska",90
"Haines Borough, Alaska",84.5
"Hoonah-Angoon Census Area, Alaska",74.9
"Juneau City and Borough, Alaska",88.9
"Kenai Peninsula Borough, Alaska",82.8
"Ketchikan Gateway Borough, Alaska",86.8
"Kodiak Island Borough, Alaska",79.7
"Kusilvak Census Area, Alaska",78.9
"Lake and Peninsula Borough, Alaska",68.4
"Matanuska-Susitna Borough, Alaska",84.8
"Nome Census Area, Alaska",77.5
"North Slope Borough, Alaska",79.2
"Northwest Arctic Borough, Alaska",72.4
"Petersburg Borough, Alaska",90.9
"Prince of Wales-Hyder Census Area, Alaska",74.1
"Sitka City and Borough, Alaska",81.7
"Skagway Municipality, Alaska",81.1
"Southeast Fairbanks Census Area, Alaska",84.4
"Valdez-Cordova Census Area, Alaska",84.3
"Wrangell City and Borough, Alaska",85
"Yakutat City and Borough, Alaska",79.5
"Yukon-Koyukuk Census Area, Alaska",70.8
"Apache County, Arizona",76.5
"Cochise County, Arizona",91.8
"Coconino County, Arizona",87.7
"Gila County, Arizona",88.7
"Graham County, Arizona",91.5
"Greenlee County, Arizona",92.7
"La Paz County, Arizona",85.5
"Maricopa County, Arizona",88.9
"Mohave County, Arizona",89.6
"Navajo County, Arizona",86.5
"Pima County, Arizona",90.1
"Pinal County, Arizona",91.2
"Santa Cruz County, Arizona",88.4
"Yavapai County, Arizona",89.6
"Yuma County, Arizona",86.7
"Arkansas County, Arkansas",93.2
"Ashley County, Arkansas",90.8
"Baxter County, Arkansas",94.4
"Benton County, Arkansas",90.6
"Boone County, Arkansas",93.2
"Bradley County, Arkansas",88.5
"Calhoun County, Arkansas",91.8
"Carroll County, Arkansas",87.6
"Chicot County, Arkansas",91.1
"Clark County, Arkansas",91.4
"Clay County, Arkansas",93.1
"Cleburne County, Arkansas",90.8
"Cleveland County, Arkansas",94.9
"Columbia County, Arkansas",91.8
"Conway County, Arkansas",92.6
"Craighead County, Arkansas",90.7
"Crawford County, Arkansas",91.1
"Crittenden County, Arkansas",90.9
"Cross County, Arkansas",92.7
"Dallas County, Arkansas",92
"Desha County, Arkansas",92.7
"Drew County, Arkansas",94.1
"Faulkner County, Arkansas",90.3
"Franklin County, Arkansas",94.2
"Fulton County, Arkansas",90.9
"Garland County, Arkansas",88.8
"Grant County, Arkansas",95
"Greene County, Arkansas",93.1
"Hempstead County, Arkansas",90.1
"Hot Spring County, Arkansas",91.5
"Howard County, Arkansas",90.9
"Independence County, Arkansas",91.4
"Izard County, Arkansas",92.8
"Jackson County, Arkansas",91.9
"Jefferson County, Arkansas",92.1
"Johnson County, Arkansas",89
"Lafayette County, Arkansas",90
"Lawrence County, Arkansas",92.2
"Lee County, Arkansas",91.5
"Lincoln County, Arkansas",92.6
"Little River County, Arkansas",93.8
"Logan County, Arkansas",92
"Lonoke County, Arkansas",92.4
"Madison County, Arkansas",88.6
"Marion County, Arkansas",93
"Miller County, Arkansas",89.3
"Mississippi County, Arkansas",92.1
"Monroe County, Arkansas",90.1
"Montgomery County, Arkansas",88
"Nevada County, Arkansas",91.3
"Newton County, Arkansas",92.5
"Ouachita County, Arkansas",92.6
"Perry County, Arkansas",94
"Phillips County, Arkansas",90.7
"Pike County, Arkansas",89.7
"Poinsett County, Arkansas",88.5
"Polk County, Arkansas",88.4
"Pope County, Arkansas",90.9
"Prairie County, Arkansas",91.8
"Pulaski County, Arkansas",91.4
"Randolph County, Arkansas",91.5
"St. Francis County, Arkansas",89.7
"Saline County, Arkansas",93.9
"Scott County, Arkansas",91.2
"Searcy County, Arkansas",92.7
"Sebastian County, Arkansas",89.3
"Sevier County, Arkansas",85.3
"Sharp County, Arkansas",92.9
"Stone County, Arkansas",92.5
"Union County, Arkansas",89.4
"Van Buren County, Arkansas",89.5
"Washington County, Arkansas",88.5
"White County, Arkansas",91
"Woodruff County, Arkansas",93.9
"Yell County, Arkansas",91.5
"Alameda County, California",94.9
"Alpine County, California",89.7
"Amador County, California",95.8
"Butte County, California",92.6
"Calaveras County, California",94.8
"Colusa County, California",89.7
"Contra Costa County, California",94.3
"Del Norte County, California",93.7
"El Dorado County, California",94.8
"Fresno County, California",90.5
"Glenn County, California",90.4
"Humboldt County, California",90.3
"Imperial County, California",90.7
"Inyo County, California",93.6
"Kern County, California",91
"Kings County, California",91.8
"Lake County, California",90.5
"Lassen County, California",94.3
"Los Angeles County, California",89.2
"Madera County, California",90.6
"Marin County, California",96
"Mariposa County, California",95.1
"Mendocino County, California",90.7
"Merced County, California",91.3
"Modoc County, California",87.7
"Mono County, California",83.4
"Monterey County, California",88.8
"Napa County, California",93.5
"Nevada County, California",92.2
"Orange County, California",91.6
"Placer County, California",95.3
"Plumas County, California",96.5
"Riverside County, California",90
"Sacramento County, California",93.7
"San Benito County, California",92.6
"San Bernardino County, California",90.6
"San Diego County, California",91.3
"San Francisco County, California",95.6
"San Joaquin County, California",92.5
"San Luis Obispo County, California",92.5
"San Mateo County, California",95.2
"Santa Barbara County, California",89.4
"Santa Clara County, California",95.2
"Santa Cruz County, California",93.8
"Shasta County, California",92.5
"Sierra County, California",89.8
"Siskiyou County, California",93
"Solano County, California",94.4
"Sonoma County, California",93.1
"Stanislaus County, California",93.5
"Sutter County, California",90.4
"Tehama County, California",92.7
"Trinity County, California",88.7
"Tulare County, California",90.2
"Tuolumne County, California",94.3
"Ventura County, California",90.7
"Yolo County, California",94.1
"Yuba County, California",92
"Adams County, Colorado",88.9
"Alamosa County, Colorado",86
"Arapahoe County, Colorado",91.8
"Archuleta County, Colorado",88.9
"Baca County, Colorado",93.2
"Bent County, Colorado",90.5
"Boulder County, Colorado",95
"Broomfield County, Colorado",95.3
"Chaffee County, Colorado",89.6
"Cheyenne County, Colorado",88.8
"Clear Creek County, Colorado",91
"Conejos County, Colorado",86.5
"Costilla County, Colorado",88.4
"Crowley County, Colorado",93
"Custer County, Colorado",84.5
"Delta County, Colorado",89.8
"Denver County, Colorado",89.7
"Dolores County, Colorado",94.9
"Douglas County, Colorado",97.1
"Eagle County, Colorado",84.9
"Elbert County, Colorado",94.2
"El Paso County, Colorado",92.6
"Fremont County, Colorado",92.9
"Garfield County, Colorado",82.9
"Gilpin County, Colorado",95.4
"Grand County, Colorado",85.2
"Gunnison County, Colorado",89.2
"Hinsdale County, Colorado",89.7
"Huerfano County, Colorado",91.4
"Jackson County, Colorado",89.4
"Jefferson County, Colorado",94.2
"Kiowa County, Colorado",94.1
"Kit Carson County, Colorado",87.4
"Lake County, Colorado",85.3
"La Plata County, Colorado",90.9
"Larimer County, Colorado",93.7
"Las Animas County, Colorado",90.7
"Lincoln County, Colorado",96
"Logan County, Colorado",90.9
"Mesa County, Colorado",89.9
"Mineral County, Colorado",91.7
"Moffat County, Colorado",86.5
"Montezuma County, Colorado",87.1
"Montrose County, Colorado",89.1
"Morgan County, Colorado",92.1
"Otero County, Colorado",90.4
"Ouray County, Colorado",89.9
"Park County, Colorado",92.7
"Phillips County, Colorado",84.4
"Pitkin County, Colorado",86.6
"Prowers County, Colorado",89.2
"Pueblo County, Colorado",93
"Rio Blanco County, Colorado",91.9
"Rio Grande County, Colorado",89.2
"Routt County, Colorado",91.9
"Saguache County, Colorado",83.5
"San Juan County, Colorado",90.3
"San Miguel County, Colorado",92
"Sedgwick County, Colorado",92.3
"Summit County, Colorado",81.5
"Teller County, Colorado",90.9
"Washington County, Colorado",95
"Weld County, Colorado",92.2
"Yuma County, Colorado",88.7
"Fairfield County, Connecticut",91.3
"Hartford County, Connecticut",95.6
"Litchfield County, Connecticut",95.8
"Middlesex County, Connecticut",96.7
"New Haven County, Connecticut",94.8
"New London County, Connecticut",95.7
"Tolland County, Connecticut",96.9
"Windham County, Connecticut",96.1
"Kent County, Delaware",93
"New Castle County, Delaware",94.7
"Sussex County, Delaware",92.9
"District of Columbia, District of Columbia",96
"Alachua County, Florida",90.8
"Baker County, Florida",87.5
"Bay County, Florida",85.8
"Bradford County, Florida",87.6
