LOC,Mean Income,Median Income
"Autauga County, Alabama",58786,75515
"Baldwin County, Alabama",55962,77212
"Barbour County, Alabama",34186,47909
"Bibb County, Alabama",45340,58529
"Blount County, Alabama",48695,60646
"Bullock County, Alabama",32152,45516
"Butler County, Alabama",39109,52630
"Calhoun County, Alabama",45197,61653
"Chambers County, Alabama",39872,53553
"Cherokee County, Alabama",41014,55611
"Chilton County, Alabama",45182,62771
"Choctaw County, Alabama",34884,52247
"Clarke County, Alabama",36127,51892
"Clay County, Alabama",41225,56739
"Cleburne County, Alabama",40188,54871
"Coffee County, Alabama",53155,69305
"Colbert County, Alabama",47558,59835
"Conecuh County, Alabama",33177,41773
"Coosa County, Alabama",38301,55936
"Covington County, Alabama",40601,55315
"Crenshaw County, Alabama",39812,58669
"Cullman County, Alabama",42558,58564
"Dale County, Alabama",45960,59184
"Dallas County, Alabama",31602,46049
"DeKalb County, Alabama",39233,54158
"Elmore County, Alabama",59347,74630
"Escambia County, Alabama",35000,47508
"Etowah County, Alabama",44023,58953
"Fayette County, Alabama",37458,52024
"Franklin County, Alabama",40459,52295
"Geneva County, Alabama",38142,49724
"Greene County, Alabama",21804,33639
"Hale County, Alabama",30571,49368
"Henry County, Alabama",48610,59476
"Houston County, Alabama",45496,64926
"Jackson County, Alabama",39816,52230
"Jefferson County, Alabama",51979,75281
"Lamar County, Alabama",36756,51320
"Lauderdale County, Alabama",46265,64129
"Lawrence County, Alabama",44515,58594
"Lee County, Alabama",48056,69057
"Limestone County, Alabama",56460,74295
"Lowndes County, Alabama",30833,47366
"Macon County, Alabama",32074,48702
"Madison County, Alabama",63417,85952
"Marengo County, Alabama",32809,50946
"Marion County, Alabama",35392,50337
"Marshall County, Alabama",42490,61600
"Mobile County, Alabama",46166,63768
"Monroe County, Alabama",30141,45863
"Montgomery County, Alabama",47990,68306
"Morgan County, Alabama",49751,65068
"Perry County, Alabama",23561,33680
"Pickens County, Alabama",37458,54603
"Pike County, Alabama",34678,54193
"Randolph County, Alabama",41449,56137
"Russell County, Alabama",40978,53747
"St. Clair County, Alabama",54887,65756
"Shelby County, Alabama",75761,95835
"Sumter County, Alabama",23132,38126
"Talladega County, Alabama",41012,54898
"Tallapoosa County, Alabama",43361,56874
"Tuscaloosa County, Alabama",52221,69478
"Walker County, Alabama",41748,56961
"Washington County, Alabama",40794,54475
"Wilcox County, Alabama",27237,42007
"Winston County, Alabama",38504,51630
"Aleutians East Borough, Alaska",69706,81570
"Aleutians West Census Area, Alaska",85517,101440
"Anchorage Municipality, Alaska",83280,106840
"Bethel Census Area, Alaska",54212,70334
"Bristol Bay Borough, Alaska",84688,99525
"Denali Borough, Alaska",84196,91022
"Dillingham Census Area, Alaska",58750,72873
"Fairbanks North Star Borough, Alaska",77095,94841
"Haines Borough, Alaska",64342,76564
"Hoonah-Angoon Census Area, Alaska",63603,77180
"Juneau City and Borough, Alaska",88213,107563
"Kenai Peninsula Borough, Alaska",66684,84549
"Ketchikan Gateway Borough, Alaska",70356,86145
"Kodiak Island Borough, Alaska",78281,90125
"Kusilvak Census Area, Alaska",35539,46732
"Lake and Peninsula Borough, Alaska",46406,60837
"Matanuska-Susitna Borough, Alaska",75905,90862
"Nome Census Area, Alaska",58987,73589
"North Slope Borough, Alaska",75431,93624
"Northwest Arctic Borough, Alaska",62949,80250
"Petersburg Borough, Alaska",66907,87391
"Prince of Wales-Hyder Census Area, Alaska",54191,66830
"Sitka City and Borough, Alaska",71534,89940
"Skagway Municipality, Alaska",72237,83881
"Southeast Fairbanks Census Area, Alaska",71541,80274
"Valdez-Cordova Census Area, Alaska",82306,95129
"Wrangell City and Borough, Alaska",57583,70025
"Yakutat City and Borough, Alaska",65833,73088
"Yukon-Koyukuk Census Area, Alaska",40000,53907
"Apache County, Arizona",32963,44356
"Cochise County, Arizona",48649,62072
"Coconino County, Arizona",57616,75304
"Gila County, Arizona",42092,55246
"Graham County, Arizona",51352,59370
"Greenlee County, Arizona",60962,71773
"La Paz County, Arizona",33333,46901
"Maricopa County, Arizona",61606,84884
"Mohave County, Arizona",43266,57571
"Navajo County, Arizona",40054,53558
"Pima County, Arizona",51037,70610
"Pinal County, Arizona",55550,67625
"Santa Cruz County, Arizona",40467,59164
"Yavapai County, Arizona",50180,65629
"Yuma County, Arizona",44058,58796
"Arkansas County, Arkansas",39466,57077
"Ashley County, Arkansas",39635,55565
"Baxter County, Arkansas",41481,57247
"Benton County, Arkansas",64141,88345
"Boone County, Arkansas",43262,58658
"Bradley County, Arkansas",39510,54378
"Calhoun County, Arkansas",44022,57517
"Carroll County, Arkansas",43505,58830
"Chicot County, Arkansas",33051,53248
"Clark County, Arkansas",39752,54268
"Clay County, Arkansas",33935,46074
"Cleburne County, Arkansas",43391,59787
"Cleveland County, Arkansas",42460,57182
"Columbia County, Arkansas",36148,53655
"Conway County, Arkansas",41196,57701
"Craighead County, Arkansas",45868,66617
"Crawford County, Arkansas",46619,61329
"Crittenden County, Arkansas",39002,55159
"Cross County, Arkansas",43838,61914
"Dallas County, Arkansas",36628,44870
"Desha County, Arkansas",30234,43560
"Drew County, Arkansas",43014,57827
"Faulkner County, Arkansas",51930,69056
"Franklin County, Arkansas",39463,49603
"Fulton County, Arkansas",36184,47478
"Garland County, Arkansas",43146,62899
"Grant County, Arkansas",51920,66845
"Greene County, Arkansas",47497,58805
"Hempstead County, Arkansas",41355,52426
"Hot Spring County, Arkansas",41262,54707
"Howard County, Arkansas",35900,59294
"Independence County, Arkansas",43523,59214
"Izard County, Arkansas",40218,50944
"Jackson County, Arkansas",33174,52085
"Jefferson County, Arkansas",38289,53194
"Johnson County, Arkansas",37170,49280
"Lafayette County, Arkansas",32412,59077
"Lawrence County, Arkansas",38528,50287
"Lee County, Arkansas",28367,41798
"Lincoln County, Arkansas",45166,54584
"Little River County, Arkansas",45388,59113
"Logan County, Arkansas",39748,52645
"Lonoke County, Arkansas",57509,69490
"Madison County, Arkansas",43891,61519
"Marion County, Arkansas",35518,45432
"Miller County, Arkansas",41903,56997
"Mississippi County, Arkansas",37237,52080
"Monroe County, Arkansas",35190,47475
"Montgomery County, Arkansas",37855,51753
"Nevada County, Arkansas",37635,45112
"Newton County, Arkansas",39896,47959
"Ouachita County, Arkansas",34887,49607
"Perry County, Arkansas",46071,56931
"Phillips County, Arkansas",29263,44626
"Pike County, Arkansas",37406,52727
"Poinsett County, Arkansas",39277,47721
"Polk County, Arkansas",37035,48496
"Pope County, Arkansas",41914,57914
"Prairie County, Arkansas",41846,52656
"Pulaski County, Arkansas",50093,74959
"Randolph County, Arkansas",36870,50329
"St. Francis County, Arkansas",35356,45472
"Saline County, Arkansas",62152,75741
"Scott County, Arkansas",35509,44300
"Searcy County, Arkansas",36390,48021
"Sebastian County, Arkansas",43240,61626
"Sevier County, Arkansas",46667,57655
"Sharp County, Arkansas",33708,47567
"Stone County, Arkansas",36162,49251
"Union County, Arkansas",44000,59213
"Van Buren County, Arkansas",36897,50038
"Washington County, Arkansas",49629,72364
"White County, Arkansas",43822,62025
"Woodruff County, Arkansas",31023,47914
"Yell County, Arkansas",42361,58585
"Alameda County, California",92574,122575
"Alpine County, California",64688,92738
"Amador County, California",61198,78014
"Butte County, California",48443,69621
"Calaveras County, California",58151,79782
"Colusa County, California",56704,82313
"Contra Costa County, California",93712,128079
"Del Norte County, California",45258,61652
"El Dorado County, California",80582,104895
"Fresno County, California",51261,71663
"Glenn County, California",47395,60614
"Humboldt County, California",45528,63753
"Imperial County, California",45834,63186
"Inyo County, California",52874,68448
"Kern County, California",52479,71440
"Kings County, California",53865,69985
"Lake County, California",42475,60847
"Lassen County, California",56362,71097
"Los Angeles County, California",64251,94484
"Madera County, California",52884,69614
"Marin County, California",110217,168429
