County,State,Land Area
"Autauga, AL",Alabama,594.44
"Baldwin, AL",Alabama,1589.78
"Barbour, AL",Alabama,884.88
"Bibb, AL",Alabama,622.58
"Blount, AL",Alabama,644.78
"Bullock, AL",Alabama,622.81
"Butler, AL",Alabama,776.83
"Calhoun, AL",Alabama,605.87
"Chambers, AL",Alabama,596.53
"Cherokee, AL",Alabama,553.7
"Chilton, AL",Alabama,692.85
"Choctaw, AL",Alabama,913.5
"Clarke, AL",Alabama,1238.47
"Clay, AL",Alabama,603.96
"Cleburne, AL",Alabama,560.1
"Coffee, AL",Alabama,678.97
"Colbert, AL",Alabama,592.62
"Conecuh, AL",Alabama,850.16
"Coosa, AL",Alabama,650.93
"Covington, AL",Alabama,1030.46
"Crenshaw, AL",Alabama,608.84
"Cullman, AL",Alabama,734.84
"Dale, AL",Alabama,561.15
"Dallas, AL",Alabama,978.7
"DeKalb, AL",Alabama,777.09
"Elmore, AL",Alabama,618.49
"Escambia, AL",Alabama,945.08
"Etowah, AL",Alabama,534.99
"Fayette, AL",Alabama,627.66
"Franklin, AL",Alabama,633.82
"Geneva, AL",Alabama,574.41
"Greene, AL",Alabama,647.11
"Hale, AL",Alabama,643.94
"Henry, AL",Alabama,561.75
"Houston, AL",Alabama,579.82
"Jackson, AL",Alabama,1077.87
"Jefferson, AL",Alabama,1111.28
"Lamar, AL",Alabama,604.85
"Lauderdale, AL",Alabama,667.7
"Lawrence, AL",Alabama,690.68
"Lee, AL",Alabama,607.54
"Limestone, AL",Alabama,559.94
"Lowndes, AL",Alabama,715.91
"Macon, AL",Alabama,608.89
"Madison, AL",Alabama,801.59
"Marengo, AL",Alabama,976.88
"Marion, AL",Alabama,742.29
"Marshall, AL",Alabama,565.84
"Mobile, AL",Alabama,1229.44
"Monroe, AL",Alabama,1025.68
"Montgomery, AL",Alabama,784.25
"Morgan, AL",Alabama,579.34
"Perry, AL",Alabama,719.66
"Pickens, AL",Alabama,881.41
"Pike, AL",Alabama,672.09
"Randolph, AL",Alabama,580.55
"Russell, AL",Alabama,641.14
"St. Clair, AL",Alabama,631.9
"Shelby, AL",Alabama,784.93
"Sumter, AL",Alabama,903.89
"Talladega, AL",Alabama,736.78
"Tallapoosa, AL",Alabama,716.52
"Tuscaloosa, AL",Alabama,1321.76
"Walker, AL",Alabama,791.19
"Washington, AL",Alabama,1080.21
"Wilcox, AL",Alabama,888.5
"Winston, AL",Alabama,612.98
"Aleutians East, AK",Alaska,6981.94
"Aleutians West, AK",Alaska,4390.28
"Anchorage, AK",Alaska,1704.68
