LOC,PCT_IN_POVERTY
"Autauga County, Alabama",15.4
"Baldwin County, Alabama",10.6
"Barbour County, Alabama",28.9
"Bibb County, Alabama",14
"Blount County, Alabama",14.4
"Bullock County, Alabama",31.4
"Butler County, Alabama",23.5
"Calhoun County, Alabama",18.6
"Chambers County, Alabama",16.6
"Cherokee County, Alabama",15
"Chilton County, Alabama",18.6
"Choctaw County, Alabama",22.2
"Clarke County, Alabama",25.4
"Clay County, Alabama",18.4
"Cleburne County, Alabama",18.5
"Coffee County, Alabama",15.1
"Colbert County, Alabama",16.3
"Conecuh County, Alabama",22.2
"Coosa County, Alabama",14
"Covington County, Alabama",18.3
"Crenshaw County, Alabama",15.7
"Cullman County, Alabama",15.8
"Dale County, Alabama",18.4
"Dallas County, Alabama",31.1
"DeKalb County, Alabama",22.1
"Elmore County, Alabama",12.3
"Escambia County, Alabama",24
"Etowah County, Alabama",17.3
"Fayette County, Alabama",20
"Franklin County, Alabama",20.2
"Geneva County, Alabama",24
"Greene County, Alabama",38.7
"Hale County, Alabama",26
"Henry County, Alabama",13.5
"Houston County, Alabama",18.3
"Jackson County, Alabama",20.2
"Jefferson County, Alabama",17
"Lamar County, Alabama",21.2
"Lauderdale County, Alabama",15.2
"Lawrence County, Alabama",16.8
"Lee County, Alabama",21.4
"Limestone County, Alabama",13.7
"Lowndes County, Alabama",27.9
"Macon County, Alabama",25.8
"Madison County, Alabama",13.2
"Marengo County, Alabama",21.8
"Marion County, Alabama",17.5
"Marshall County, Alabama",21.7
"Mobile County, Alabama",19.3
"Monroe County, Alabama",30.9
"Montgomery County, Alabama",20.7
"Morgan County, Alabama",15.3
"Perry County, Alabama",41.8
"Pickens County, Alabama",23.5
"Pike County, Alabama",26.6
"Randolph County, Alabama",17.7
"Russell County, Alabama",20.1
"St. Clair County, Alabama",13.2
"Shelby County, Alabama",8.4
"Sumter County, Alabama",31.3
"Talladega County, Alabama",19.9
"Tallapoosa County, Alabama",20.3
"Tuscaloosa County, Alabama",17.4
"Walker County, Alabama",19.7
"Washington County, Alabama",21
"Wilcox County, Alabama",31.1
"Winston County, Alabama",16.2
"Aleutians East Borough, Alaska",15.4
"Aleutians West Census Area, Alaska",8.5
"Anchorage Municipality, Alaska",9.2
"Bethel Census Area, Alaska",27.8
"Bristol Bay Borough, Alaska",5.8
"Denali Borough, Alaska",16.9
"Dillingham Census Area, Alaska",17.2
"Fairbanks North Star Borough, Alaska",8.1
"Haines Borough, Alaska",9
"Hoonah-Angoon Census Area, Alaska",9.7
"Juneau City and Borough, Alaska",7.9
"Kenai Peninsula Borough, Alaska",12
"Ketchikan Gateway Borough, Alaska",10.5
"Kodiak Island Borough, Alaska",9.3
"Kusilvak Census Area, Alaska",40.5
"Lake and Peninsula Borough, Alaska",15.9
"Matanuska-Susitna Borough, Alaska",10.3
"Nome Census Area, Alaska",23.1
"North Slope Borough, Alaska",9.3
"Northwest Arctic Borough, Alaska",25.1
"Petersburg Borough, Alaska",8.2
"Prince of Wales-Hyder Census Area, Alaska",15.2
"Sitka City and Borough, Alaska",7.5
"Skagway Municipality, Alaska",5.3
"Southeast Fairbanks Census Area, Alaska",10.8
"Valdez-Cordova Census Area, Alaska",8.1
"Wrangell City and Borough, Alaska",7.8
"Yakutat City and Borough, Alaska",6.7
"Yukon-Koyukuk Census Area, Alaska",25.1
"Apache County, Arizona",35.3
"Cochise County, Arizona",17.2
"Coconino County, Arizona",18.9
"Gila County, Arizona",22.5
"Graham County, Arizona",21.3
"Greenlee County, Arizona",11.9
"La Paz County, Arizona",22.1
"Maricopa County, Arizona",14.7
"Mohave County, Arizona",17.5
"Navajo County, Arizona",28.5
"Pima County, Arizona",17.8
"Pinal County, Arizona",14.2
"Santa Cruz County, Arizona",24
"Yavapai County, Arizona",14
"Yuma County, Arizona",20.1
"Arkansas County, Arkansas",20
"Ashley County, Arkansas",20.2
"Baxter County, Arkansas",14
"Benton County, Arkansas",9.9
"Boone County, Arkansas",14.9
"Bradley County, Arkansas",23.2
"Calhoun County, Arkansas",15.6
"Carroll County, Arkansas",15
"Chicot County, Arkansas",29.2
"Clark County, Arkansas",19.8
"Clay County, Arkansas",22.6
"Cleburne County, Arkansas",14.6
"Cleveland County, Arkansas",19.4
"Columbia County, Arkansas",25.2
"Conway County, Arkansas",18.2
"Craighead County, Arkansas",18.4
"Crawford County, Arkansas",15.9
"Crittenden County, Arkansas",22.2
"Cross County, Arkansas",16.7
"Dallas County, Arkansas",14.3
"Desha County, Arkansas",29.1
"Drew County, Arkansas",21.4
"Faulkner County, Arkansas",16.8
"Franklin County, Arkansas",21.9
"Fulton County, Arkansas",23.9
"Garland County, Arkansas",18.6
"Grant County, Arkansas",14.5
"Greene County, Arkansas",16.3
"Hempstead County, Arkansas",24.3
"Hot Spring County, Arkansas",17.6
"Howard County, Arkansas",19.2
"Independence County, Arkansas",17.3
"Izard County, Arkansas",17.1
"Jackson County, Arkansas",23.3
"Jefferson County, Arkansas",23.2
"Johnson County, Arkansas",22.4
"Lafayette County, Arkansas",22.2
"Lawrence County, Arkansas",17.7
"Lee County, Arkansas",26
"Lincoln County, Arkansas",18.6
"Little River County, Arkansas",15.8
"Logan County, Arkansas",21.1
"Lonoke County, Arkansas",12.2
"Madison County, Arkansas",16.8
"Marion County, Arkansas",20.6
"Miller County, Arkansas",21.2
"Mississippi County, Arkansas",25.8
"Monroe County, Arkansas",28.1
"Montgomery County, Arkansas",18.9
"Nevada County, Arkansas",27.7
"Newton County, Arkansas",14.2
"Ouachita County, Arkansas",24.1
"Perry County, Arkansas",17
"Phillips County, Arkansas",33.2
"Pike County, Arkansas",16.6
"Poinsett County, Arkansas",21.8
