April 2020 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",63.2,53,-0.4,63.6
AL-003,"Baldwin County",67.9,96,1.5,66.4
AL-005,"Barbour County",64.2,57,-0.3,64.5
AL-007,"Bibb County",60.8,30,-1.7,62.5
AL-009,"Blount County",59.1,39,-1.2,60.3
AL-011,"Bullock County",63.2,52,-0.6,63.8
AL-013,"Butler County",64.4,69,-0.0,64.4
AL-015,"Calhoun County",59.2,33,-1.5,60.7
AL-017,"Chambers County",59.8,33,-1.5,61.3
AL-019,"Cherokee County",58.2,21,-2.2,60.4
AL-021,"Chilton County",61.2,43,-1.2,62.4
AL-023,"Choctaw County",64.0,56,-0.4,64.4
AL-025,"Clarke County",65.0,68,0.3,64.7
AL-027,"Clay County",58.9,34,-1.7,60.6
AL-029,"Cleburne County",58.4,38,-1.3,59.7
AL-031,"Coffee County",65.7,76,0.6,65.1
AL-033,"Colbert County",57.3,19,-2.5,59.8
AL-035,"Conecuh County",65.9,79,0.8,65.1
AL-037,"Coosa County",60.4,33,-1.6,62
AL-039,"Covington County",66.0,81,0.7,65.3
AL-041,"Crenshaw County",64.3,67,0.0,64.3
AL-043,"Cullman County",58.6,33,-1.5,60.1
AL-045,"Dale County",66.0,76,0.6,65.4
AL-047,"Dallas County",63.2,51,-0.8,64
AL-049,"DeKalb County",56.7,19,-2.5,59.2
AL-051,"Elmore County",62.4,46,-0.9,63.3
AL-053,"Escambia County",66.6,85,0.9,65.7
AL-055,"Etowah County",58.7,26,-1.9,60.6
AL-057,"Fayette County",60.0,29,-1.7,61.7
AL-059,"Franklin County",56.8,15,-3.0,59.8
AL-061,"Geneva County",67.1,93,1.2,65.9
AL-063,"Greene County",61.8,28,-1.8,63.6
AL-065,"Hale County",61.6,28,-1.8,63.4
AL-067,"Henry County",65.9,72,0.5,65.4
AL-069,"Houston County",67.5,89,1.2,66.3
AL-071,"Jackson County",57.1,20,-2.3,59.4
AL-073,"Jefferson County",60.1,37,-1.4,61.5
