February 2020 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",52.5,99,3.3,49.2
AL-003,"Baldwin County",57.1,102,3.5,53.6
AL-005,"Barbour County",52.8,88,2.2,50.6
AL-007,"Bibb County",49.7,89,2.4,47.3
AL-009,"Blount County",48.0,98,3.5,44.5
AL-011,"Bullock County",52.3,91,2.6,49.7
AL-013,"Butler County",53.9,101,3.4,50.5
AL-015,"Calhoun County",48.8,98,3.5,45.3
AL-017,"Chambers County",49.2,93,2.7,46.5
AL-019,"Cherokee County",47.9,97,3.5,44.4
AL-021,"Chilton County",50.4,94,2.8,47.6
AL-023,"Choctaw County",53.6,99,3.5,50.1
AL-025,"Clarke County",53.9,98,3.1,50.8
AL-027,"Clay County",48.7,97,3.0,45.7
AL-029,"Cleburne County",48.4,103,4.0,44.4
AL-031,"Coffee County",54.9,99,3.3,51.6
AL-033,"Colbert County",45.7,91,2.8,42.9
AL-035,"Conecuh County",55.2,104,3.5,51.7
AL-037,"Coosa County",50.0,94,2.6,47.4
AL-039,"Covington County",55.2,102,3.3,51.9
AL-041,"Crenshaw County",53.5,98,3.1,50.4
AL-043,"Cullman County",47.2,93,3.2,44
AL-045,"Dale County",54.9,95,3.0,51.9
AL-047,"Dallas County",52.6,95,2.9,49.7
AL-049,"DeKalb County",46.2,94,3.3,42.9
AL-051,"Elmore County",51.8,96,2.8,49
AL-053,"Escambia County",55.9,101,3.3,52.6
AL-055,"Etowah County",48.0,95,3.2,44.8
AL-057,"Fayette County",48.6,90,2.8,45.8
AL-059,"Franklin County",45.9,88,2.7,43.2
AL-061,"Geneva County",56.0,101,3.5,52.5
AL-063,"Greene County",50.6,90,2.4,48.2
AL-065,"Hale County",50.3,89,2.1,48.2
AL-067,"Henry County",54.4,92,2.7,51.7
AL-069,"Houston County",56.3,102,3.4,52.9
AL-071,"Jackson County",45.7,93,2.9,42.8
AL-073,"Jefferson County",48.8,91,2.8,46
AL-075,"Lamar County",48.5,90,2.6,45.9
AL-077,"Lauderdale County",45.3,93,2.9,42.4
AL-079,"Lawrence County",45.7,89,2.4,43.3
AL-081,"Lee County",50.6,92,2.4,48.2
AL-083,"Limestone County",46.1,96,3.2,42.9
AL-085,"Lowndes County",53.7,101,3.5,50.2
AL-087,"Macon County",51.8,92,2.4,49.4
AL-089,"Madison County",46.1,93,3.0,43.1
AL-091,"Marengo County",51.8,92,2.3,49.5
AL-093,"Marion County",46.8,87,2.5,44.3
AL-095,"Marshall County",47.2,95,3.2,44
AL-097,"Mobile County",56.6,100,3.4,53.2
AL-099,"Monroe County",54.8,103,3.6,51.2
AL-101,"Montgomery County",53.3,101,3.3,50
AL-103,"Morgan County",46.5,92,2.9,43.6
AL-105,"Perry County",50.7,90,2.2,48.5
AL-107,"Pickens County",50.0,92,2.9,47.1
AL-109,"Pike County",53.3,95,2.7,50.6
