March 2020 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",65.1,125,9.0,56.1
AL-003,"Baldwin County",68.7,126,9.1,59.6
AL-005,"Barbour County",65.9,125,8.8,57.1
AL-007,"Bibb County",62.6,123,8.0,54.6
AL-009,"Blount County",60.4,123,8.4,52
AL-011,"Bullock County",64.8,125,8.6,56.2
AL-013,"Butler County",66.4,126,9.3,57.1
AL-015,"Calhoun County",60.7,123,8.1,52.6
AL-017,"Chambers County",61.0,121,7.6,53.4
AL-019,"Cherokee County",59.4,122,7.5,51.9
AL-021,"Chilton County",63.1,124,8.4,54.7
AL-023,"Choctaw County",66.3,126,9.3,57
AL-025,"Clarke County",66.9,126,9.4,57.5
AL-027,"Clay County",60.7,123,7.9,52.8
AL-029,"Cleburne County",60.1,123,8.5,51.6
AL-031,"Coffee County",68.0,126,9.9,58.1
AL-033,"Colbert County",58.3,121,7.5,50.8
AL-035,"Conecuh County",67.7,126,9.7,58
AL-037,"Coosa County",62.3,123,7.9,54.4
AL-039,"Covington County",67.7,126,9.6,58.1
AL-041,"Crenshaw County",66.3,126,9.4,56.9
AL-043,"Cullman County",59.7,122,8.1,51.6
AL-045,"Dale County",68.1,126,9.7,58.4
AL-047,"Dallas County",65.6,125,8.9,56.7
AL-049,"DeKalb County",57.5,120,6.9,50.6
AL-051,"Elmore County",64.0,123,8.2,55.8
AL-053,"Escambia County",68.1,126,9.3,58.8
AL-055,"Etowah County",59.6,121,7.3,52.3
AL-057,"Fayette County",61.5,121,8.1,53.4
AL-059,"Franklin County",58.6,121,7.7,50.9
AL-061,"Geneva County",68.8,126,9.9,58.9
AL-063,"Greene County",64.3,123,8.5,55.8
AL-065,"Hale County",64.0,124,8.3,55.7
AL-067,"Henry County",67.8,126,9.5,58.3
AL-069,"Houston County",68.9,126,9.6,59.3
AL-071,"Jackson County",56.8,117,6.2,50.6
AL-073,"Jefferson County",61.5,123,8.1,53.4
AL-075,"Lamar County",61.5,121,8.0,53.5
AL-077,"Lauderdale County",57.4,118,7.0,50.4
AL-079,"Lawrence County",58.0,118,6.9,51.1
AL-081,"Lee County",62.7,121,7.8,54.9
AL-083,"Limestone County",57.7,116,6.8,50.9
AL-085,"Lowndes County",66.2,126,9.3,56.9
AL-087,"Macon County",63.9,122,7.9,56
AL-089,"Madison County",57.8,117,6.8,51
AL-091,"Marengo County",65.6,126,9.0,56.6
AL-093,"Marion County",60.0,122,8.0,52
AL-095,"Marshall County",58.9,121,7.3,51.6
AL-097,"Mobile County",68.6,126,9.4,59.2
AL-099,"Monroe County",67.7,126,9.9,57.8
AL-101,"Montgomery County",65.6,125,9.0,56.6
AL-103,"Morgan County",58.6,122,7.2,51.4
AL-105,"Perry County",64.2,124,8.5,55.7
AL-107,"Pickens County",63.3,123,8.6,54.7
AL-109,"Pike County",66.2,126,9.2,57
AL-111,"Randolph County",59.9,121,7.6,52.3
AL-113,"Russell County",64.2,123,8.0,56.2
AL-115,"St. Clair County",61.0,123,8.2,52.8
AL-117,"Shelby County",62.1,123,8.2,53.9
AL-119,"Sumter County",65.3,125,9.1,56.2
AL-121,"Talladega County",62.0,123,8.2,53.8
AL-123,"Tallapoosa County",61.6,121,7.5,54.1
AL-125,"Tuscaloosa County",62.6,121,8.0,54.6
AL-127,"Walker County",60.9,122,7.8,53.1
AL-129,"Washington County",67.2,126,9.2,58
AL-131,"Wilcox County",66.4,126,9.1,57.3
AL-133,"Winston County",58.9,121,7.4,51.5
AZ-001,"Apache County",43.3,104,3.4,39.9
AZ-003,"Cochise County",53.0,85,1.6,51.4
AZ-005,"Coconino County",44.1,88,2.2,41.9
AZ-007,"Gila County",50.6,88,2.0,48.6
AZ-009,"Graham County",52.4,87,1.8,50.6
AZ-011,"Greenlee County",49.0,97,2.6,46.4
AZ-012,"La Paz County",59.9,51,-0.5,60.4
AZ-013,"Maricopa County",59.5,65,0.4,59.1
AZ-015,"Mohave County",51.0,56,0.1,50.9
AZ-017,"Navajo County",44.4,99,3.1,41.3
AZ-019,"Pima County",57.6,69,0.8,56.8
AZ-021,"Pinal County",58.8,76,1.3,57.5
AZ-023,"Santa Cruz County",51.8,75,1.0,50.8
AZ-025,"Yavapai County",48.8,63,0.7,48.1
AZ-027,"Yuma County",61.4,52,-0.2,61.6
AR-001,"Arkansas County",58.9,116,5.7,53.2
AR-003,"Ashley County",62.5,123,7.6,54.9
AR-005,"Baxter County",52.4,111,5.0,47.4
AR-007,"Benton County",53.8,116,6.2,47.6
AR-009,"Boone County",52.6,114,5.6,47
AR-011,"Bradley County",61.2,121,6.9,54.3
AR-013,"Calhoun County",60.2,117,5.9,54.3
AR-015,"Carroll County",52.7,114,5.7,47
AR-017,"Chicot County",61.2,117,6.1,55.1
AR-019,"Clark County",57.5,106,4.2,53.3
AR-021,"Clay County",53.9,113,5.1,48.8
AR-023,"Cleburne County",54.2,110,4.6,49.6
AR-025,"Cleveland County",58.5,112,4.7,53.8
AR-027,"Columbia County",60.9,118,5.9,55
AR-029,"Conway County",55.6,110,4.6,51
AR-031,"Craighead County",54.3,108,4.6,49.7
AR-033,"Crawford County",55.9,117,6.1,49.8
AR-035,"Crittenden County",57.2,115,5.6,51.6
AR-037,"Cross County",55.9,106,4.6,51.3
AR-039,"Dallas County",58.0,107,4.4,53.6
AR-041,"Desha County",59.7,117,5.7,54
AR-043,"Drew County",60.6,117,6.4,54.2
AR-045,"Faulkner County",55.4,106,4.1,51.3
AR-047,"Franklin County",55.3,115,5.5,49.8
AR-049,"Fulton County",52.4,112,5.5,46.9
AR-051,"Garland County",56.1,109,4.4,51.7
AR-053,"Grant County",57.5,106,4.2,53.3
AR-055,"Greene County",54.0,108,4.8,49.2
AR-057,"Hempstead County",58.8,114,5.1,53.7
AR-059,"Hot Spring County",57.0,106,4.2,52.8
AR-061,"Howard County",57.8,115,5.5,52.3
AR-063,"Independence County",53.8,106,4.4,49.4
AR-065,"Izard County",52.5,106,4.6,47.9
AR-067,"Jackson County",54.1,102,3.9,50.2
AR-069,"Jefferson County",57.7,108,4.3,53.4
AR-071,"Johnson County",54.4,113,5.2,49.2
AR-073,"Lafayette County",60.9,117,5.9,55
AR-075,"Lawrence County",53.5,106,4.4,49.1
AR-077,"Lee County",57.9,114,5.5,52.4
AR-079,"Lincoln County",58.9,115,5.2,53.7
AR-081,"Little River County",60.3,118,6.6,53.7
AR-083,"Logan County",56.1,114,5.3,50.8
AR-085,"Lonoke County",56.5,105,3.9,52.6
AR-087,"Madison County",52.7,114,5.8,46.9
