May 2020 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",70.5,44,-0.9,71.4
AL-003,"Baldwin County",73.2,52,-0.3,73.5
AL-005,"Barbour County",70.3,21,-2.0,72.3
AL-007,"Bibb County",68.6,24,-1.8,70.4
AL-009,"Blount County",66.4,23,-2.1,68.5
AL-011,"Bullock County",69.8,23,-1.9,71.7
AL-013,"Butler County",70.9,43,-1.0,71.9
AL-015,"Calhoun County",66.6,24,-2.2,68.8
AL-017,"Chambers County",66.6,14,-2.6,69.2
AL-019,"Cherokee County",65.6,14,-3.1,68.7
AL-021,"Chilton County",68.7,31,-1.6,70.3
AL-023,"Choctaw County",70.2,25,-1.7,71.9
AL-025,"Clarke County",71.2,41,-0.9,72.1
AL-027,"Clay County",66.0,20,-2.3,68.3
AL-029,"Cleburne County",65.5,25,-2.2,67.7
AL-031,"Coffee County",71.3,31,-1.5,72.8
AL-033,"Colbert County",65.8,23,-2.3,68.1
AL-035,"Conecuh County",72.4,61,-0.2,72.6
AL-037,"Coosa County",67.9,25,-1.8,69.7
AL-039,"Covington County",71.8,40,-1.0,72.8
AL-041,"Crenshaw County",70.4,35,-1.4,71.8
AL-043,"Cullman County",65.8,18,-2.4,68.2
AL-045,"Dale County",71.6,26,-1.5,73.1
AL-047,"Dallas County",70.3,29,-1.5,71.8
AL-049,"DeKalb County",64.2,15,-3.1,67.3
AL-051,"Elmore County",69.8,30,-1.4,71.2
AL-053,"Escambia County",72.9,57,-0.1,73
AL-055,"Etowah County",66.1,18,-2.7,68.8
AL-057,"Fayette County",67.9,26,-1.9,69.8
AL-059,"Franklin County",65.6,19,-2.4,68
AL-061,"Geneva County",72.4,37,-1.0,73.4
AL-063,"Greene County",69.2,17,-2.4,71.6
AL-065,"Hale County",69.1,18,-2.3,71.4
AL-067,"Henry County",71.6,24,-1.6,73.2
AL-069,"Houston County",72.9,37,-1.1,74
AL-071,"Jackson County",64.6,16,-2.9,67.5
AL-073,"Jefferson County",68.1,31,-1.5,69.6
AL-075,"Lamar County",68.2,30,-1.7,69.9
AL-077,"Lauderdale County",65.2,21,-2.5,67.7
AL-079,"Lawrence County",65.1,13,-3.1,68.2
AL-081,"Lee County",68.3,18,-2.2,70.5
AL-083,"Limestone County",65.1,16,-2.9,68
AL-085,"Lowndes County",71.2,46,-0.8,72
AL-087,"Macon County",69.6,22,-2.0,71.6
AL-089,"Madison County",65.1,16,-2.9,68
AL-091,"Marengo County",69.4,16,-2.4,71.8
AL-093,"Marion County",66.4,24,-2.3,68.7
AL-095,"Marshall County",65.5,15,-2.8,68.3
AL-097,"Mobile County",73.1,56,-0.1,73.2
AL-099,"Monroe County",72.4,62,0.1,72.3
AL-101,"Montgomery County",70.9,41,-1.0,71.9
AL-103,"Morgan County",65.4,15,-2.9,68.3
AL-105,"Perry County",69.1,19,-2.1,71.2
AL-107,"Pickens County",69.1,26,-1.8,70.9
AL-109,"Pike County",70.3,24,-1.8,72.1
AL-111,"Randolph County",65.7,20,-2.5,68.2
AL-113,"Russell County",69.6,23,-2.1,71.7
AL-115,"St. Clair County",66.9,25,-2.0,68.9
AL-117,"Shelby County",68.0,29,-1.6,69.6
AL-119,"Sumter County",69.5,20,-2.1,71.6
AL-121,"Talladega County",67.4,26,-1.9,69.3
AL-123,"Tallapoosa County",67.4,18,-2.3,69.7
AL-125,"Tuscaloosa County",69.0,27,-1.8,70.8
AL-127,"Walker County",67.6,26,-1.8,69.4
AL-129,"Washington County",71.4,34,-1.2,72.6
AL-131,"Wilcox County",70.7,31,-1.3,72
AL-133,"Winston County",65.3,15,-2.8,68.1
AZ-001,"Apache County",61.0,124,4.9,56.1
AZ-003,"Cochise County",70.3,116,4.0,66.3
AZ-005,"Coconino County",63.2,121,5.3,57.9
AZ-007,"Gila County",69.8,125,6.1,63.7
AZ-009,"Graham County",71.7,124,5.6,66.1
AZ-011,"Greenlee County",66.7,124,5.3,61.4
AZ-012,"La Paz County",81.5,121,5.7,75.8
AZ-013,"Maricopa County",81.0,123,6.5,74.5
AZ-015,"Mohave County",72.4,120,5.4,67
AZ-017,"Navajo County",63.0,124,5.3,57.7
AZ-019,"Pima County",77.2,122,5.6,71.6
AZ-021,"Pinal County",79.5,124,6.1,73.4
AZ-023,"Santa Cruz County",69.0,118,4.3,64.7
AZ-025,"Yavapai County",68.7,120,5.7,63
AZ-027,"Yuma County",81.9,121,6.2,75.7
AR-001,"Arkansas County",69.3,36,-1.3,70.6
AR-003,"Ashley County",71.2,61,0.1,71.1
AR-005,"Baxter County",62.6,13,-2.9,65.5
AR-007,"Benton County",62.3,10,-3.2,65.5
AR-009,"Boone County",62.3,17,-2.6,64.9
AR-011,"Bradley County",69.8,44,-0.9,70.7
AR-013,"Calhoun County",69.1,31,-1.5,70.6
AR-015,"Carroll County",62.3,15,-2.7,65
AR-017,"Chicot County",71.7,59,-0.1,71.8
AR-019,"Clark County",68.0,23,-2.0,70
AR-021,"Clay County",66.3,32,-1.7,68
AR-023,"Cleburne County",64.3,15,-2.6,66.9
AR-025,"Cleveland County",68.6,25,-1.8,70.4
AR-027,"Columbia County",69.1,26,-1.9,71
AR-029,"Conway County",66.0,12,-2.5,68.5
AR-031,"Craighead County",66.8,28,-1.8,68.6
AR-033,"Crawford County",64.8,13,-2.5,67.3
AR-035,"Crittenden County",69.0,40,-1.3,70.3
AR-037,"Cross County",67.8,27,-2.0,69.8
AR-039,"Dallas County",68.0,20,-2.1,70.1
AR-041,"Desha County",70.2,44,-0.9,71.1
AR-043,"Drew County",70.4,51,-0.5,70.9
AR-045,"Faulkner County",66.3,16,-2.4,68.7
AR-047,"Franklin County",64.7,14,-2.5,67.2
AR-049,"Fulton County",63.2,28,-1.9,65.1
AR-051,"Garland County",66.9,27,-1.8,68.7
AR-053,"Grant County",68.0,22,-2.1,70.1
AR-055,"Greene County",66.5,29,-1.7,68.2
AR-057,"Hempstead County",68.1,19,-2.2,70.3
AR-059,"Hot Spring County",67.6,25,-2.0,69.6
AR-061,"Howard County",67.4,25,-1.6,69
AR-063,"Independence County",64.5,16,-2.7,67.2
AR-065,"Izard County",62.9,12,-3.0,65.9
AR-067,"Jackson County",66.0,21,-2.4,68.4
AR-069,"Jefferson County",68.6,25,-1.7,70.3
AR-071,"Johnson County",63.7,12,-2.8,66.5
AR-073,"Lafayette County",69.4,22,-1.8,71.2
AR-075,"Lawrence County",65.4,22,-2.3,67.7
AR-077,"Lee County",69.4,43,-1.0,70.4
AR-079,"Lincoln County",69.4,31,-1.2,70.6
AR-081,"Little River County",69.1,35,-1.1,70.2
AR-083,"Logan County",65.3,10,-2.9,68.2
AR-085,"Lonoke County",67.8,21,-2.1,69.9
AR-087,"Madison County",61.6,13,-2.7,64.3
AR-089,"Marion County",62.5,12,-2.9,65.4
AR-091,"Miller County",69.8,31,-1.4,71.2
AR-093,"Mississippi County",68.4,42,-1.1,69.5
AR-095,"Monroe County",69.0,38,-1.3,70.3
AR-097,"Montgomery County",66.1,20,-2.0,68.1
AR-099,"Nevada County",67.8,11,-2.7,70.5
AR-101,"Newton County",61.6,13,-2.6,64.2
AR-103,"Ouachita County",68.7,22,-2.1,70.8
AR-105,"Perry County",66.6,14,-2.4,69
AR-107,"Phillips County",69.7,43,-0.9,70.6
AR-109,"Pike County",67.4,30,-1.6,69
