SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,BA_MALE,BA_FEMALE,H_MALE,H_FEMALE
50,1,1,Alabama,Autauga County,12,0,55869,27092,28777,5237,6000,884,787
50,1,1,Alabama,Autauga County,12,1,3277,1713,1564,339,344,86,60
50,1,1,Alabama,Autauga County,12,2,3465,1787,1678,388,368,88,70
50,1,1,Alabama,Autauga County,12,3,3851,1977,1874,442,418,94,79
50,1,1,Alabama,Autauga County,12,4,3659,1854,1805,434,400,63,74
50,1,1,Alabama,Autauga County,12,5,3178,1634,1544,374,346,62,50
50,1,1,Alabama,Autauga County,12,6,3799,1858,1941,429,469,80,45
50,1,1,Alabama,Autauga County,12,7,3533,1730,1803,379,424,66,57
50,1,1,Alabama,Autauga County,12,8,3661,1762,1899,344,458,89,71
50,1,1,Alabama,Autauga County,12,9,3604,1679,1925,351,465,60,71
50,1,1,Alabama,Autauga County,12,10,3877,1874,2003,328,449,67,35
50,1,1,Alabama,Autauga County,12,11,3775,1853,1922,321,388,46,38
50,1,1,Alabama,Autauga County,12,12,3896,1895,2001,310,361,21,43
50,1,1,Alabama,Autauga County,12,13,3370,1563,1807,277,359,21,24
50,1,1,Alabama,Autauga County,12,14,2683,1296,1387,221,281,16,10
50,1,1,Alabama,Autauga County,12,15,2330,1017,1313,121,178,3,23
50,1,1,Alabama,Autauga County,12,16,1796,743,1053,82,133,9,15
50,1,1,Alabama,Autauga County,12,17,1179,498,681,64,76,6,10
50,1,1,Alabama,Autauga County,12,18,936,359,577,33,83,7,12
50,1,3,Alabama,Baldwin County,12,0,223234,108247,114987,9486,10107,5545,4989
50,1,3,Alabama,Baldwin County,12,1,12039,6249,5790,608,639,651,482
50,1,3,Alabama,Baldwin County,12,2,13066,6728,6338,679,627,549,519
50,1,3,Alabama,Baldwin County,12,3,14079,7107,6972,761,723,594,521
50,1,3,Alabama,Baldwin County,12,4,13084,6579,6505,711,771,392,408
50,1,3,Alabama,Baldwin County,12,5,11091,5601,5490,734,673,314,300
50,1,3,Alabama,Baldwin County,12,6,12618,6241,6377,860,705,359,288
50,1,3,Alabama,Baldwin County,12,7,12551,6131,6420,691,700,435,401
50,1,3,Alabama,Baldwin County,12,8,13446,6551,6895,649,687,463,346
50,1,3,Alabama,Baldwin County,12,9,13224,6361,6863,547,590,394,344
50,1,3,Alabama,Baldwin County,12,10,14472,6957,7515,561,640,330,336
50,1,3,Alabama,Baldwin County,12,11,14319,6888,7431,506,619,321,263
50,1,3,Alabama,Baldwin County,12,12,16267,7724,8543,643,728,239,244
50,1,3,Alabama,Baldwin County,12,13,16148,7403,8745,528,655,186,201
50,1,3,Alabama,Baldwin County,12,14,14881,6916,7965,412,507,125,144
50,1,3,Alabama,Baldwin County,12,15,13163,6285,6878,264,335,103,78
50,1,3,Alabama,Baldwin County,12,16,9043,4219,4824,178,235,50,51
50,1,3,Alabama,Baldwin County,12,17,5297,2470,2827,91,129,21,22
50,1,3,Alabama,Baldwin County,12,18,4446,1837,2609,63,144,19,41
50,1,5,Alabama,Barbour County,12,0,24686,13064,11622,6311,5595,629,488
50,1,5,Alabama,Barbour County,12,1,1309,684,625,372,341,66,60
50,1,5,Alabama,Barbour County,12,2,1408,684,724,360,383,66,81
50,1,5,Alabama,Barbour County,12,3,1476,740,736,408,376,60,76
50,1,5,Alabama,Barbour County,12,4,1402,739,663,397,358,53,31
50,1,5,Alabama,Barbour County,12,5,1487,889,598,524,347,24,21
50,1,5,Alabama,Barbour County,12,6,1785,1141,644,647,375,43,15
50,1,5,Alabama,Barbour County,12,7,1669,1010,659,592,361,48,32
50,1,5,Alabama,Barbour County,12,8,1545,911,634,452,354,65,41
50,1,5,Alabama,Barbour County,12,9,1413,864,549,416,264,67,30
50,1,5,Alabama,Barbour County,12,10,1578,898,680,411,340,48,33
50,1,5,Alabama,Barbour County,12,11,1504,804,700,359,333,26,17
50,1,5,Alabama,Barbour County,12,12,1709,846,863,366,398,24,16
50,1,5,Alabama,Barbour County,12,13,1540,757,783,290,317,14,11
50,1,5,Alabama,Barbour County,12,14,1501,691,810,285,355,9,8
50,1,5,Alabama,Barbour County,12,15,1365,610,755,207,283,6,6
50,1,5,Alabama,Barbour County,12,16,939,410,529,119,173,5,5
50,1,5,Alabama,Barbour County,12,17,587,234,353,59,121,2,1
50,1,5,Alabama,Barbour County,12,18,469,152,317,47,116,3,4
50,1,7,Alabama,Bibb County,12,0,22394,11929,10465,2941,1822,343,280
50,1,7,Alabama,Bibb County,12,1,1246,622,624,119,115,31,23
50,1,7,Alabama,Bibb County,12,2,1198,631,567,116,100,25,25
50,1,7,Alabama,Bibb County,12,3,1269,667,602,119,131,22,17
50,1,7,Alabama,Bibb County,12,4,1279,700,579,153,98,14,18
50,1,7,Alabama,Bibb County,12,5,1333,774,559,274,110,18,12
50,1,7,Alabama,Bibb County,12,6,1726,1015,711,377,143,34,51
50,1,7,Alabama,Bibb County,12,7,1609,952,657,387,124,33,41
50,1,7,Alabama,Bibb County,12,8,1532,914,618,307,122,49,12
50,1,7,Alabama,Bibb County,12,9,1411,790,621,215,99,31,12
50,1,7,Alabama,Bibb County,12,10,1622,911,711,245,128,31,9
50,1,7,Alabama,Bibb County,12,11,1530,809,721,159,111,8,10
50,1,7,Alabama,Bibb County,12,12,1516,797,719,169,135,11,10
50,1,7,Alabama,Bibb County,12,13,1390,680,710,112,116,10,6
50,1,7,Alabama,Bibb County,12,14,1156,573,583,78,93,5,18
50,1,7,Alabama,Bibb County,12,15,1030,487,543,59,71,10,11
50,1,7,Alabama,Bibb County,12,16,712,312,400,23,45,5,2
50,1,7,Alabama,Bibb County,12,17,446,172,274,14,35,2,1
50,1,7,Alabama,Bibb County,12,18,389,123,266,15,46,4,2
50,1,9,Alabama,Blount County,12,0,57826,28472,29354,516,462,2950,2632
50,1,9,Alabama,Blount County,12,1,3438,1702,1736,34,32,268,277
50,1,9,Alabama,Blount County,12,2,3639,1857,1782,30,35,320,311
50,1,9,Alabama,Blount County,12,3,3858,1911,1947,46,40,299,317
50,1,9,Alabama,Blount County,12,4,3587,1861,1726,37,40,266,267
50,1,9,Alabama,Blount County,12,5,3193,1652,1541,33,41,210,200
50,1,9,Alabama,Blount County,12,6,3590,1817,1773,34,21,227,179
50,1,9,Alabama,Blount County,12,7,3359,1675,1684,49,20,219,151
50,1,9,Alabama,Blount County,12,8,3524,1727,1797,36,25,257,186
50,1,9,Alabama,Blount County,12,9,3468,1726,1742,39,34,236,187
50,1,9,Alabama,Blount County,12,10,3868,1939,1929,31,27,168,165
50,1,9,Alabama,Blount County,12,11,3842,1902,1940,23,29,130,117
50,1,9,Alabama,Blount County,12,12,3986,2008,1978,31,22,118,84
50,1,9,Alabama,Blount County,12,13,3660,1792,1868,18,27,75,62
50,1,9,Alabama,Blount County,12,14,3311,1606,1705,32,27,68,30
50,1,9,Alabama,Blount County,12,15,3038,1398,1640,19,18,43,39
50,1,9,Alabama,Blount County,12,16,2049,901,1148,13,8,15,47
50,1,9,Alabama,Blount County,12,17,1316,602,714,5,10,10,7
50,1,9,Alabama,Blount County,12,18,1100,396,704,6,6,21,6
50,1,11,Alabama,Bullock County,12,0,10101,5508,4593,3713,3384,449,415
50,1,11,Alabama,Bullock County,12,1,565,269,296,199,208,46,57
50,1,11,Alabama,Bullock County,12,2,613,305,308,216,208,51,60
50,1,11,Alabama,Bullock County,12,3,616,345,271,247,209,56,43
50,1,11,Alabama,Bullock County,12,4,521,271,250,208,180,40,33
