SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,BA_MALE,BA_FEMALE,H_MALE,H_FEMALE
50.0,1.0,1.0,Alabama,Autauga County,12.0,0.0,55869.0,27092.0,28777.0,5237.0,6000.0,884.0,787.0
50.0,1.0,1.0,Alabama,Autauga County,12.0,15.0,2330.0,1017.0,1313.0,121.0,178.0,3.0,23.0
50.0,1.0,1.0,Alabama,Autauga County,12.0,16.0,1796.0,743.0,1053.0,82.0,133.0,9.0,15.0
50.0,1.0,1.0,Alabama,Autauga County,12.0,17.0,1179.0,498.0,681.0,64.0,76.0,6.0,10.0
50.0,1.0,1.0,Alabama,Autauga County,12.0,18.0,936.0,359.0,577.0,33.0,83.0,7.0,12.0
50.0,1.0,3.0,Alabama,Baldwin County,12.0,0.0,223234.0,108247.0,114987.0,9486.0,10107.0,5545.0,4989.0
50.0,1.0,3.0,Alabama,Baldwin County,12.0,15.0,13163.0,6285.0,6878.0,264.0,335.0,103.0,78.0
50.0,1.0,3.0,Alabama,Baldwin County,12.0,16.0,9043.0,4219.0,4824.0,178.0,235.0,50.0,51.0
50.0,1.0,3.0,Alabama,Baldwin County,12.0,17.0,5297.0,2470.0,2827.0,91.0,129.0,21.0,22.0
50.0,1.0,3.0,Alabama,Baldwin County,12.0,18.0,4446.0,1837.0,2609.0,63.0,144.0,19.0,41.0
50.0,1.0,5.0,Alabama,Barbour County,12.0,0.0,24686.0,13064.0,11622.0,6311.0,5595.0,629.0,488.0
50.0,1.0,5.0,Alabama,Barbour County,12.0,15.0,1365.0,610.0,755.0,207.0,283.0,6.0,6.0
50.0,1.0,5.0,Alabama,Barbour County,12.0,16.0,939.0,410.0,529.0,119.0,173.0,5.0,5.0
50.0,1.0,5.0,Alabama,Barbour County,12.0,17.0,587.0,234.0,353.0,59.0,121.0,2.0,1.0
50.0,1.0,5.0,Alabama,Barbour County,12.0,18.0,469.0,152.0,317.0,47.0,116.0,3.0,4.0
50.0,1.0,7.0,Alabama,Bibb County,12.0,0.0,22394.0,11929.0,10465.0,2941.0,1822.0,343.0,280.0
50.0,1.0,7.0,Alabama,Bibb County,12.0,15.0,1030.0,487.0,543.0,59.0,71.0,10.0,11.0
50.0,1.0,7.0,Alabama,Bibb County,12.0,16.0,712.0,312.0,400.0,23.0,45.0,5.0,2.0
50.0,1.0,7.0,Alabama,Bibb County,12.0,17.0,446.0,172.0,274.0,14.0,35.0,2.0,1.0
50.0,1.0,7.0,Alabama,Bibb County,12.0,18.0,389.0,123.0,266.0,15.0,46.0,4.0,2.0
50.0,1.0,9.0,Alabama,Blount County,12.0,0.0,57826.0,28472.0,29354.0,516.0,462.0,2950.0,2632.0
50.0,1.0,9.0,Alabama,Blount County,12.0,15.0,3038.0,1398.0,1640.0,19.0,18.0,43.0,39.0
50.0,1.0,9.0,Alabama,Blount County,12.0,16.0,2049.0,901.0,1148.0,13.0,8.0,15.0,47.0
50.0,1.0,9.0,Alabama,Blount County,12.0,17.0,1316.0,602.0,714.0,5.0,10.0,10.0,7.0
50.0,1.0,9.0,Alabama,Blount County,12.0,18.0,1100.0,396.0,704.0,6.0,6.0,21.0,6.0
50.0,1.0,11.0,Alabama,Bullock County,12.0,0.0,10101.0,5508.0,4593.0,3713.0,3384.0,449.0,415.0
50.0,1.0,11.0,Alabama,Bullock County,12.0,15.0,431.0,179.0,252.0,96.0,169.0,5.0,4.0
50.0,1.0,11.0,Alabama,Bullock County,12.0,16.0,292.0,130.0,162.0,71.0,112.0,6.0,1.0
50.0,1.0,11.0,Alabama,Bullock County,12.0,17.0,231.0,97.0,134.0,52.0,93.0,2.0,2.0
50.0,1.0,11.0,Alabama,Bullock County,12.0,18.0,191.0,62.0,129.0,34.0,79.0,2.0,2.0
50.0,1.0,13.0,Alabama,Butler County,12.0,0.0,19448.0,9024.0,10424.0,3885.0,4862.0,153.0,136.0
50.0,1.0,13.0,Alabama,Butler County,12.0,15.0,982.0,452.0,530.0,138.0,175.0,3.0,3.0
50.0,1.0,13.0,Alabama,Butler County,12.0,16.0,714.0,307.0,407.0,90.0,133.0,1.0,1.0
50.0,1.0,13.0,Alabama,Butler County,12.0,17.0,529.0,197.0,332.0,62.0,111.0,3.0,2.0
50.0,1.0,13.0,Alabama,Butler County,12.0,18.0,561.0,127.0,434.0,42.0,133.0,3.0,3.0
