State,County,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,COVID Deaths (Normalized by Population),COVID Cases (Normalized by Population)
Alabama,Montgomery,0.631961256,0.36475451,0.002343402,0.000459137,0.000481696,0.0,0.000437113110744152,0.016950275072189894
Arizona,Maricopa,0.162483469,0.7119919159999999,0.118219927,0.005022831,0.002281857,0.0,0.00018214595129903283,0.011652436096199816
California,Alameda,0.603811413,0.361504105,0.026011178,0.007303441,0.0013698629999999998,0.0,8.137236893514084e-05,0.0036832963467994632
California,Colusa,0.710619557,0.27020236,0.009589041,0.00913242,0.000456621,0.0,0.0,0.0027382002134867965
California,Contra Costa,0.6813770990000001,0.29442573,0.016434613,0.006849315,0.000913242,0.0,6.675185474796407e-05,0.002815714600277757
California,El Dorado,0.64673103,0.26781718,0.073137994,0.011857175,0.000456621,0.0,0.0,0.0010267419610771457
California,Fresno,0.251483394,0.467825686,0.221361379,0.05841629900000001,0.000913242,0.0,7.506748566961698e-05,0.00529375908942139
California,Glenn,0.7635453529999999,0.22545549,0.007785199,0.002754821,0.000459137,0.0,0.0,0.004050294086570635
California,Lake,0.97082984,0.026389652000000003,0.001386395,0.000927259,0.000466853,0.0,0.0,0.0012269748081881154
California,Los Angeles,0.100416698,0.599256431,0.217250543,0.075318761,0.007757567,0.0,0.00033917359382662217,0.010525338558499277
California,Marin,0.8249820729999999,0.163597377,0.005484477,0.005479451999999999,0.000456621,0.0,7.340839019263908e-05,0.009249457164272524
California,Napa,0.722095233,0.264625111,0.006411525,0.005952381,0.000915751,0.0,2.9039377395748632e-05,0.0024175281681960733
California,Placer,0.528511366,0.388427277,0.067999102,0.01277915,0.002283105,0.0,2.761536317968313e-05,0.0018175929947355073
California,San Bernardino,0.104987898,0.515732215,0.224103601,0.129620481,0.025555805,0.0,0.00011834400952256448,0.0058465610285837475
California,San Francisco,0.815525114,0.174429224,0.00456621,0.005022831,0.000456621,0.0,5.671834464108064e-05,0.004138170425013243
California,Solano,0.71883125,0.26518951,0.008216683,0.007305936,0.000456621,0.0,5.5848075363626816e-05,0.003131960066392192
California,Sonoma,0.89682611,0.094498091,0.002283105,0.005479451999999999,0.000913242,0.0,1.4160409114448472e-05,0.0023971549715173486
California,Stanislaus,0.424474137,0.446355765,0.111822242,0.016891233999999998,0.000456621,0.0,7.990411506192568e-05,0.0041949660407510974
California,Tulare,0.225014347,0.466921177,0.249187813,0.058420041,0.000456621,0.0,0.00027456321925374577,0.009272943725265178
California,Yolo,0.742556828,0.24329291100000006,0.009584051,0.003652968,0.000913242,0.0,0.00018140589569161,0.002517006802721089
Colorado,La Plata,0.720234798,0.263793448,0.011405543999999998,0.004109589,0.000456621,0.0,1.7786947937603388e-05,0.0020632859607619927
Colorado,Prowers,0.970935175,0.022519273,0.002337038,0.002793296,0.001415217,0.0,0.0,0.0017252711140322053
Georgia,Murray,0.8727949309999999,0.125377204,0.001232627,0.0,0.000595238,0.0,4.9880287310454904e-05,0.005536711891460495
Idaho,Bonner,0.881223979,0.099968897,0.012839551,0.00320641,0.002761163,0.0,0.0,0.0007214849472004198
Idaho,Lemhi,0.670057518,0.27911247100000003,0.041497194,0.008863333000000001,0.000469484,0.0,0.0,0.00024915908807773764
Idaho,Shoshone,0.629877867,0.330793553,0.032920791,0.005037926,0.0013698629999999998,0.0,0.0,0.0
Indiana,Lake,0.589175837,0.394849914,0.013692392,0.001826484,0.000455373,0.0,0.0002275043680838672,0.004904994175888178
Maryland,Baltimore,0.729385932,0.241417771,0.026462809,0.002278115,0.000455373,0.0,0.0005728996700387976,0.0097175387069872
Montana,Flathead,0.790460863,0.190361055,0.010045662,0.007762557,0.0013698629999999998,0.0,1.9266709053426584e-05,0.0005683679170760843
Montana,Lincoln,0.625607963,0.34833068,0.011431874,0.013713725,0.000915758,0.0,5.0050050050050046e-05,0.00040040040040040036
Montana,Ravalli,0.80762571,0.15771947,0.020587868,0.013117284,0.000949668,0.0,0.0,0.0007076656165822034
Nevada,Clark,0.36331437,0.569138159,0.064808993,0.002283105,0.000455373,0.0,0.0,0.0014108986811164502
Nevada,Douglas,0.866821587,0.120558942,0.009223182,0.002935883,0.000460405,0.0,1.8947288642995187e-05,0.0023684110803743985
New York,Rockland,0.8692554440000001,0.122971936,0.007315999,0.0,0.000456621,0.0,0.002050406858426773,0.04175094923401343
North Dakota,McKenzie,0.926678086,0.068748136,0.00274351,0.0013736470000000002,0.000456621,0.0,0.0,0.0017971246006389773
Oregon,Clackamas,0.900952306,0.07817263099999999,0.015511548,0.00459191,0.000771605,0.0,5.739059320351899e-05,0.001795847312326782
Oregon,Klamath,0.706354695,0.248842784,0.023203212,0.019465387,0.002133921,0.0,0.0,0.0018025147278642399
Oregon,Umatilla,0.8141822059999999,0.17006741399999994,0.011042149,0.003595441,0.001112789,0.0,5.131494547787043e-05,0.006837716484926234
Oregon,Wasco,0.8753609659999999,0.112804209,0.006158628,0.005218322,0.000457875,0.0,7.495689978262499e-05,0.002735926842065812
Pennsylvania,Northampton,0.609592444,0.375800613,0.012781707,0.0013698629999999998,0.000455373,0.0,0.0008713169661136315,0.011219024845636043
Texas,Galveston,0.8052381120000001,0.17095581899999998,0.021979585,0.0013698629999999998,0.000456621,0.0,0.00011691154764583984,0.009624743159943766
Texas,Harris,0.4947288970000001,0.442278614,0.049751728,0.011870899,0.0013698629999999998,0.0,8.147114828703728e-05,0.00697151161865562
Utah,Uintah,0.617497567,0.355118896,0.016889987,0.00821294,0.00228061,0.0,0.0,0.00016790731516203058
Washington,Asotin,0.826065094,0.15851551,0.010551296000000002,0.003427178,0.001440922,0.0,8.85661146045523e-05,0.0009299442033477993
Washington,Clallam,0.866141727,0.126095716,0.003652968,0.003652968,0.000456621,0.0,0.0,0.0004655312875819528
Washington,Grant,0.902436735,0.085665751,0.005498478,0.005942415,0.000456621,0.0,6.139175099505797e-05,0.005228530793079104
Washington,King,0.730294916,0.249591118,0.013721273,0.005936073,0.000456621,0.0,0.0002716641024297957,0.004573900182085972
Washington,Kittitas,0.83893726,0.14287962699999998,0.01114258,0.006101566,0.000938967,0.0,2.0861583394179613e-05,0.00273286742463753
Washington,Spokane,0.767389335,0.212027498,0.013267167,0.005489515,0.001826484,0.0,7.842417147732012e-05,0.002656857906877991
Washington,Walla Walla,0.89493278,0.094349459,0.007462990999999999,0.002798149,0.000456621,0.0,4.9374588545095457e-05,0.0027978933508887426
Washington,Yakima,0.667853009,0.288276029,0.031537122,0.010050735,0.002283105,0.0,0.000633786816437002,0.028412782563289
Wyoming,Lincoln,0.972606483,0.026936896,0.0,0.0,0.000456621,0.0,0.0,0.001210287443267776
Wyoming,Sweetwater,0.6996219779999999,0.286224019,0.011414278,0.002283105,0.000456621,0.0,0.0,0.0021254989018255678
