State,County,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,COVID Deaths (Normalized by Population),COVID Cases (Normalized by Population)
Arizona,Apache,0.99539294,0.00460706,0.0,0.0,0.0,0.0,0.0012519648893402145,0.033121426683545015
Arkansas,Clark,0.966994777,0.033005223,0.0,0.0,0.0,0.0,0.0,0.0025537634408602148
Arkansas,Newton,0.939710864,0.060289135999999986,0.0,0.0,0.0,0.0,0.0,0.000773893976525216
Arkansas,Washington,0.816016668,0.183983332,0.0,0.0,0.0,0.0,0.00012542487677005856,0.01519313340607976
Florida,Baker,0.952716091,0.047283909000000006,0.0,0.0,0.0,0.0,0.00013693940431359124,0.0024649092776446425
Florida,Collier,0.897647786,0.102352214,0.0,0.0,0.0,0.0,0.0002104431777439452,0.011369127726018571
Florida,Flagler,0.961944006,0.038055994,0.0,0.0,0.0,0.0,4.344765860567774e-05,0.002806718745926782
Florida,Hamilton,0.871240127,0.128759873,0.0,0.0,0.0,0.0,0.00013861935126143607,0.02391183809259773
Florida,Holmes,0.8405333209999999,0.159466679,0.0,0.0,0.0,0.0,0.0,0.009226691135239842
Florida,Liberty,0.974000148,0.025999852,0.0,0.0,0.0,0.0,0.00011970313622216902,0.026574096241321524
Florida,Putnam,0.99619163,0.00380837,0.0,0.0,0.0,0.0,8.051421746890139e-05,0.0051126528092752385
Georgia,Chattooga,0.926109614,0.073890386,0.0,0.0,0.0,0.0,8.068094719432004e-05,0.0025011093630239213
Hawaii,Kauai,0.993843161,0.006156839,0.0,0.0,0.0,0.0,0.0,0.0005256387202080422
Kansas,Johnson,0.8937855379999999,0.106214462,0.0,0.0,0.0,0.0,0.00014442207101249833,0.002984722800924965
Kentucky,Christian,0.860669331,0.139330669,0.0,0.0,0.0,0.0,5.6768992776145664e-05,0.002767488397837101
Kentucky,Edmonson,0.849470726,0.150529274,0.0,0.0,0.0,0.0,0.0009053497942386832,0.006172839506172839
Kentucky,Pulaski,0.8829425259999999,0.117057474,0.0,0.0,0.0,0.0,3.0779174810323326e-05,0.0014466212160851968
Kentucky,Warren,0.8169594640000001,0.183040536,0.0,0.0,0.0,0.0,9.78208523958584e-05,0.011640681435107152
Louisiana,Ouachita,0.89396742,0.10603258,0.0,0.0,0.0,0.0,0.0004893038185269998,0.0161405019604773
Maine,Androscoggin,0.8868542340000001,0.113145766,0.0,0.0,0.0,0.0,3.6942286912271305e-05,0.0044700167163848285
Maine,Kennebec,0.965024616,0.034975384,0.0,0.0,0.0,0.0,8.176481169563867e-05,0.0012019427319258885
Maine,Oxford,0.898095282,0.101904718,0.0,0.0,0.0,0.0,0.0,0.0006382061233290211
Maine,Penobscot,0.913235773,0.086764227,0.0,0.0,0.0,0.0,1.3145095564844756e-05,0.0007098351605016168
Maryland,Garrett,0.877294438,0.122705562,0.0,0.0,0.0,0.0,3.446611980423244e-05,0.0003791273178465568
Maryland,Howard,0.7780821920000001,0.221917808,0.0,0.0,0.0,0.0,0.0002732659891307685,0.007884798427952961
Michigan,Bay,0.88104503,0.11895497,0.0,0.0,0.0,0.0,0.00029090626999980605,0.0038011752613308
Minnesota,Cook,0.980472813,0.019527187,0.0,0.0,0.0,0.0,0.0,0.00018304960644334616
Mississippi,Lauderdale,0.943738845,0.056261155,0.0,0.0,0.0,0.0,0.0010522765598650926,0.011898819561551434
Mississippi,Lee,0.946992449,0.053007550999999986,0.0,0.0,0.0,0.0,0.0001872746851444356,0.0057704012360129215
Mississippi,Yalobusha,0.979870717,0.020129283,0.0,0.0,0.0,0.0,0.0005781301618764452,0.013296993723158242
Missouri,Greene,0.8219839309999999,0.17801606899999994,0.0,0.0,0.0,0.0,3.4119678183195376e-05,0.000996294602949305
New Hampshire,Belknap,0.95592346,0.04407654,0.0,0.0,0.0,0.0,1.631241537934522e-05,0.0013213056457269626
New Mexico,Taos,0.973587724,0.026412276,0.0,0.0,0.0,0.0,3.055954527396632e-05,0.001314060446780552
New York,Kings,0.874902484,0.125097516,0.0,0.0,0.0,0.0,0.0,0.0
