State,County,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,COVID Deaths (Normalized by Population),COVID Cases (Normalized by Population)
Alabama,Etowah,0.687626755,0.30489566,0.003709902,0.003767684,0.0,0.0,0.00012711698674072047,0.006111393593303868
Alabama,Jefferson,0.469168101,0.5089253189999999,0.020994585,0.000911994,0.0,0.0,0.0002156177067690294,0.006661372391519239
Arizona,Gila,0.267018489,0.41489882,0.266518202,0.051564488,0.0,0.0,0.00011107408641563924,0.005720315450405421
Arizona,Santa Cruz,0.764727374,0.227956606,0.004573778,0.002742242,0.0,0.0,0.00047313862961847824,0.03875435502602263
Arkansas,Crittenden,0.820156199,0.17573795399999995,0.003650473,0.000455373,0.0,0.0,0.0002710874778438119,0.015618809300385778
Arkansas,Union,0.846536429,0.151638335,0.0013698629999999998,0.000455373,0.0,0.0,0.0003360736259759061,0.00643710252830774
California,Humboldt,0.8451700109999999,0.145687533,0.006855587,0.002286868,0.0,0.0,2.950766461588397e-05,0.0009811298484781422
California,Madera,0.369709559,0.5079783920000001,0.107247299,0.01506475,0.0,0.0,3.1780940334462616e-05,0.003438697744188855
California,Merced,0.454986281,0.444485355,0.091392168,0.009136197,0.0,0.0,3.9613944108326126e-05,0.004073033707865169
California,Monterey,0.888179005,0.102245677,0.005019088,0.004556229,0.0,0.0,3.455735484183099e-05,0.0038957658025024133
California,Nevada,0.633940123,0.263698285,0.08590432199999999,0.016457269,0.0,0.0,1.0024560172422433e-05,0.001172873540173425
California,Orange,0.420360805,0.523493525,0.050668713,0.005476956999999999,0.0,0.0,0.00010863773942813094,0.004538538372109134
California,San Diego,0.22457145,0.664065424,0.105429548,0.005933578,0.0,0.0,0.00011083386004379436,0.004380333879514608
California,San Luis Obispo,0.480601093,0.497492327,0.021451206,0.000455373,0.0,0.0,7.064366979735864e-06,0.002267661800495212
California,San Mateo,0.851036178,0.13846028400000002,0.004567464,0.005936073,0.0,0.0,0.00014088677790634422,0.0043192233485917185
California,Santa Clara,0.6987474109999999,0.278879407,0.015523867,0.006849315,0.0,0.0,8.195649873538009e-05,0.0023715513431528967
California,Santa Cruz,0.89363101,0.094496844,0.009589041,0.002283105,0.0,0.0,1.0980443829539591e-05,0.0014603990293287654
California,Shasta,0.76805488,0.200912358,0.026923173,0.004109589,0.0,0.0,2.221235006663705e-05,0.0007163482896490449
California,Siskiyou,0.894171837,0.080013982,0.012283021000000002,0.013531161000000002,0.0,0.0,0.0,0.0007120053285560072
California,Tehama,0.667592748,0.279928164,0.041981788,0.0104973,0.0,0.0,1.5364759387867984e-05,0.0012599102698051749
California,Tuolumne,0.687752205,0.255541994,0.052931206,0.003774596,0.0,0.0,0.0,0.0005506810088476082
Colorado,Arapahoe,0.676205657,0.306895478,0.016442243999999998,0.000456621,0.0,0.0,0.0005239190362326566,0.007971489057098036
Colorado,Boulder,0.713593173,0.260125423,0.025820999,0.000460405,0.0,0.0,0.0002207261891623441,0.00429496376411728
Colorado,Clear Creek,0.613547144,0.35121388,0.032984858,0.002254119,0.0,0.0,0.00010309278350515464,0.001958762886597938
Colorado,Denver,0.486095516,0.499754223,0.013237019,0.000913242,0.0,0.0,0.0005239194676648182,0.009830709381458752
Colorado,Douglas,0.646055595,0.312134786,0.03813396,0.003675659,0.0,0.0,0.00014808317718152151,0.002745234284672822
Colorado,Garfield,0.72980762,0.256494997,0.013240762,0.000456621,0.0,0.0,3.3299478863155794e-05,0.004994921829473369
Colorado,Gunnison,0.77676122,0.218661126,0.004121033,0.000456621,0.0,0.0,0.0003436032527774596,0.010766235253693735
Colorado,Jefferson,0.638050503,0.300787235,0.057969658,0.0031926040000000004,0.0,0.0,0.00036199498696989614,0.004651035116944968
Colorado,Larimer,0.541316715,0.418053996,0.03789081,0.002738478,0.0,0.0,8.125548124259244e-05,0.0020930291202833295
Colorado,Weld,0.628003593,0.355105173,0.016434613,0.000456621,0.0,0.0,0.0004221983900989855,0.008699752228098073
Connecticut,Fairfield,0.655429548,0.287521521,0.043815655,0.013233276,0.0,0.0,0.0014586593055255204,0.017721226461097472
Connecticut,Hartford,0.7348254609999999,0.249201537,0.015517629,0.000455373,0.0,0.0,0.001539720988651146,0.013110617682680662
Connecticut,Litchfield,0.869292583,0.12020002,0.010052024,0.000455373,0.0,0.0,0.000759705655648162,0.008262492167268331
Connecticut,New Haven,0.7129226240000001,0.251478404,0.029210021,0.006388951,0.0,0.0,0.0012576673838295565,0.014469609491352512
Connecticut,New London,0.860248644,0.118831158,0.019031237,0.00188896,0.0,0.0,0.00038460668310671693,0.00485660203766129
Connecticut,Windham,0.931773324,0.059354981,0.008406146,0.000465549,0.0,0.0,0.00012844445205596752,0.0052405336438834755
Delaware,New Castle,0.643538688,0.332729496,0.02190658,0.001825236,0.0,0.0,0.0004366866934047781,0.009089884081159296
