CS,SpectralClass
BaldwinAlabama,5
ColbertAlabama,0
DeKalbAlabama,0
EtowahAlabama,4
HoustonAlabama,6
JeffersonAlabama,4
MadisonAlabama,6
MobileAlabama,0
MontgomeryAlabama,4
MorganAlabama,4
RussellAlabama,4
ShelbyAlabama,6
SumterAlabama,0
TuscaloosaAlabama,4
ApacheArizona,0
CochiseArizona,4
CoconinoArizona,0
GilaArizona,4
La PazArizona,4
MaricopaArizona,4
MohaveArizona,4
NavajoArizona,0
PimaArizona,4
PinalArizona,4
Santa CruzArizona,4
YavapaiArizona,6
YumaArizona,4
ClarkArkansas,1
CrittendenArkansas,4
NewtonArkansas,1
PolkArkansas,4
PulaskiArkansas,4
UnionArkansas,0
WashingtonArkansas,4
AlamedaCalifornia,6
AmadorCalifornia,1
ButteCalifornia,5
CalaverasCalifornia,1
ColusaCalifornia,5
Contra CostaCalifornia,5
El DoradoCalifornia,5
FresnoCalifornia,4
GlennCalifornia,6
HumboldtCalifornia,1
ImperialCalifornia,4
InyoCalifornia,1
KernCalifornia,4
KingsCalifornia,4
LakeCalifornia,5
Los AngelesCalifornia,4
MaderaCalifornia,6
MarinCalifornia,4
MariposaCalifornia,1
MendocinoCalifornia,5
MercedCalifornia,6
MonoCalifornia,6
MontereyCalifornia,6
NapaCalifornia,5
NevadaCalifornia,5
OrangeCalifornia,4
PlacerCalifornia,5
RiversideCalifornia,0
SacramentoCalifornia,5
San BenitoCalifornia,6
San BernardinoCalifornia,4
San DiegoCalifornia,4
San FranciscoCalifornia,6
San JoaquinCalifornia,4
San Luis ObispoCalifornia,5
San MateoCalifornia,6
Santa BarbaraCalifornia,0
Santa ClaraCalifornia,1
Santa CruzCalifornia,1
ShastaCalifornia,1
SiskiyouCalifornia,5
SolanoCalifornia,5
SonomaCalifornia,5
StanislausCalifornia,6
SutterCalifornia,5
TehamaCalifornia,5
TulareCalifornia,4
TuolumneCalifornia,5
VenturaCalifornia,6
YoloCalifornia,5
AdamsColorado,0
ArapahoeColorado,3
ArchuletaColorado,1
BoulderColorado,6
Clear CreekColorado,6
DenverColorado,0
DouglasColorado,6
El PasoColorado,1
GarfieldColorado,6
GunnisonColorado,0
JeffersonColorado,0
La PlataColorado,1
LarimerColorado,6
MesaColorado,1
MontezumaColorado,5
ProwersColorado,6
Rio BlancoColorado,5
RouttColorado,6
WeldColorado,3
FairfieldConnecticut,3
HartfordConnecticut,3
LitchfieldConnecticut,3
New HavenConnecticut,3
New LondonConnecticut,0
WindhamConnecticut,0
KentDelaware,3
New CastleDelaware,0
SussexDelaware,3
AlachuaFlorida,6
BakerFlorida,5
BayFlorida,5
BrevardFlorida,6
BrowardFlorida,0
CitrusFlorida,5
CollierFlorida,4
ColumbiaFlorida,6
DuvalFlorida,4
